#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
mnxr01c2	SPONTANEOUS	-1000	1000	B
mnxr01c3	SPONTANEOUS	-1000	1000	B
mnxr02c2b		-1000	1000	B
mnxr100024c3	GLN1B_ECOLI;PUUA_ECOLI	-1000	0	RL
mnxr100030c3	GLSA1_ECOLI;GLSA2_ECOLI;PABB_ECOLI	0	1000	LR
mnxr100086c3	DHE4_ECOLI	-1000	1000	B
mnxr100258c3c2	GLNH_ECOLI+GLNP_ECOLI+GLNQ_ECOLI	-1000	0	RL
mnxr100259c2b		0	1000	LR
mnxr100291c3	GLTB_ECOLI+GLTD_ECOLI	0	1000	LR
mnxr100300c2c3	GLTP_ECOLI	-1000	1000	B
mnxr100389c3	6PGD_ECOLI	-1000	0	RL
mnxr101037c3	DLD_ECOLI;LDHD_ECOLI	-1000	1000	B
mnxr101367c2b		0	1000	LR
mnxr101370c2c3	DCTA_ECOLI	0	1000	LR
mnxr101439c3	MDH_ECOLI	-1000	1000	B
mnxr101443c3	MAO2_ECOLI	0	1000	LR
mnxr101446c3	MAO1_ECOLI	-1000	0	RL
mnxr101864c3c2	NUOA_ECOLI+NUOB_ECOLI+NUOCD_ECOLI+NUOE_ECOLI+NUOF_ECOLI+NUOG_ECOLI+NUOH_ECOLI+NUOI_ECOLI+NUOJ_ECOLI+NUOK_ECOLI+NUOL_ECOLI+NUOM_ECOLI+NUON_ECOLI	-1000	0	RL
mnxr101898c3	PNTA_ECOLI+PNTB_ECOLI;STHA_ECOLI	-1000	0	RL
mnxr101950c2b		-1000	1000	B
mnxr101950c2c3	AMTB_ECOLI;s0001	-1000	1000	B
mnxr102090c2b		-1000	1000	B
mnxr102090c2c3	s0001	-1000	1000	B
mnxr102547c3	GPMA_ECOLI;GPMB_ECOLI;GPMI_ECOLI	-1000	1000	B
mnxr102872c2c3	PITA_ECOLI;PITB_ECOLI	-1000	1000	B
mnxr103096c3	CAPP_ECOLI	0	1000	LR
mnxr103099c3	PCKA_ECOLI	-1000	0	RL
mnxr103140c3	PPSA_ECOLI	-1000	0	RL
mnxr103371c3	KPYK1_ECOLI;KPYK2_ECOLI	0	1000	LR
mnxr103384c2b		0	1000	LR
mnxr103385c2c3		-1000	1000	B
mnxr104083c3	RPE_ECOLI;SGCE_ECOLI	-1000	1000	B
mnxr104619c2b		0	1000	LR
mnxr104620c2c3	DCTA_ECOLI	0	1000	LR
mnxr104623c2c3		0	1000	LR
mnxr104805c2c3	PNTA_ECOLI+PNTB_ECOLI	0	1000	LR
mnxr104868c3	TKT1_ECOLI;TKT2_ECOLI	-1000	1000	B
mnxr137261c3b		0	1000	LR
mnxr144947c3	G3P1_ECOLI	-1000	1000	B
mnxr145089c2b		0	1000	LR
mnxr145952c3	PFKA_ECOLI;PFKB_ECOLI	-1000	0	RL
mnxr146072c2b		-1000	1000	B
mnxr146501c3	TALA_ECOLI;TALB_ECOLI	-1000	1000	B
mnxr146555c3	TKT1_ECOLI;TKT2_ECOLI	-1000	1000	B
mnxr146573c3	TPIS_ECOLI	-1000	1000	B
mnxr147046c3	F16PA_ECOLI;GLPX_ECOLI	0	1000	LR
mnxr152867c2b		0	1000	LR
mnxr153054c3		-1000	-8.39	RL
mnxr153059c2c3	ATP6_ECOLI+ATPA_ECOLI+ATPB_ECOLI+ATPD_ECOLI+ATPE_ECOLI+ATPF_ECOLI+ATPG_ECOLI+ATPL_ECOLI;ATP6_ECOLI+ATPA_ECOLI+ATPB_ECOLI+ATPD_ECOLI+ATPE_ECOLI+ATPF_ECOLI+ATPG_ECOLI+ATPL_ECOLI+ATPZ_ECOLI	-1000	1000	B
mnxr153517c3	ALF1_ECOLI;ALF_ECOLI;YDJI_ECOLI	-1000	1000	B
mnxr153630c2c3	DCTA_ECOLI	0	1000	LR
mnxr153631c2b		0	1000	LR
mnxr154367c3	ACNA_ECOLI;ACNB_ECOLI	-1000	1000	B
mnxr182405c2c3	PT1_ECOLI+PTHP_ECOLI+PTNAB_ECOLI+PTNC_ECOLI+PTND_ECOLI	0	1000	LR
mnxr188131c3c2	PT1_ECOLI+PTGA_ECOLI+PTGCB_ECOLI+PTHP_ECOLI;PT1_ECOLI+PTGA_ECOLI+PTHP_ECOLI+PTOCB_ECOLI;PT1_ECOLI+PTHP_ECOLI+PTNAB_ECOLI+PTNC_ECOLI+PTND_ECOLI	-1000	0	RL
mnxr188337c3	MASY_ECOLI;MASZ_ECOLI	0	1000	LR
mnxr188625c3	DLDH_ECOLI+ODP1_ECOLI+ODP2_ECOLI	-1000	0	RL
mnxr188637c3	GRCA_ECOLI+PFLA_ECOLI+PFLB_ECOLI;GRE1_ECOLI+PFLC_ECOLI;PFLA_ECOLI+PFLB_ECOLI;PFLA_ECOLI+TDCE_ECOLI	-1000	0	RL
mnxr188641c3	6PGL_ECOLI	0	1000	LR
mnxr188714c3	EUTD_ECOLI;PTA_ECOLI	-1000	1000	B
mnxr188878c3	SUCC_ECOLI+SUCD_ECOLI	-1000	1000	B
mnxr189850c3	RPIA_ECOLI;RPIB_ECOLI	-1000	1000	B
mnxr190509c3	ACDH_ECOLI;ADHE_ECOLI	-1000	1000	B
mnxr190634c3	DLDH_ECOLI+ODO1_ECOLI+ODO2_ECOLI	-1000	0	RL
mnxr190844c3	CISY_ECOLI	0	1000	LR
mnxr191121c3	IDH_ECOLI	-1000	1000	B
mnxr191123c3	ACEA_ECOLI	-1000	0	RL
mnxr191159c3	PGK_ECOLI	-1000	1000	B
mnxr191427c3	ACNA_ECOLI;ACNB_ECOLI	-1000	1000	B
mnxr191975c3	G6PI_ECOLI	-1000	1000	B
mnxr192434c3	G6PD_ECOLI	-1000	1000	B
mnxr192550c2b		0	1000	LR
mnxr195422c2b		-10	1000	B
mnxr95212c2b		0	1000	LR
mnxr95212c2c3	s0001	-1000	1000	B
mnxr95269c3	ACKA_ECOLI;PURT_ECOLI;TDCD_ECOLI	-1000	1000	B
mnxr95429c2c3		-1000	1000	B
mnxr95450c3	KAD_ECOLI	-1000	1000	B
mnxr95661c2c3	KGTP_ECOLI	-1000	1000	B
mnxr95663c2b		0	1000	LR
mnxr95725c3	ADHE_ECOLI;ADHP_ECOLI;FRMA_ECOLI	-1000	1000	B
mnxr96810c2b		-1000	1000	B
mnxr96810c2c3	s0001	-1000	1000	B
mnxr97031c3c2	APPB_ECOLI+APPC_ECOLI;CYDA_ECOLI+CYDB_ECOLI	-1000	0	RL
mnxr97838c2c3	GLCA_ECOLI;LLDP_ECOLI	-1000	1000	B
mnxr97840c2b		0	1000	LR
mnxr97932c3	ENO_ECOLI	-1000	1000	B
mnxr97980c2b		0	1000	LR
mnxr97981c2c3		-1000	1000	B
mnxr98641c2b		-1000	1000	B
mnxr98641c2c3	AQPZ_ECOLI;s0001	-1000	1000	B
mnxr99620c2b		0	1000	LR
mnxr99620c2c3	FOCA_ECOLI;FOCB_ECOLI	-1000	0	B
mnxr99621c2c3	FOCA_ECOLI;FOCB_ECOLI	0	1000	LR
mnxr99641c3	DHSC_ECOLI+DHSD_ECOLI+SDHA_ECOLI+SDHB_ECOLI;FRDA_ECOLI+FRDB_ECOLI+FRDC_ECOLI+FRDD_ECOLI	-1000	1000	B
mnxr99705c3	FUMA_ECOLI;FUMB_ECOLI;FUMC_ECOLI	-1000	1000	B
reac24F5E296		0	1000	LR
