#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
mnxr01c2	1 MNXM01@MNXC2 <==> 1 MNXM1@MNXC2		MNXR01			
mnxr01c3	1 MNXM01@MNXC3 <==> 1 MNXM1@MNXC3		MNXR01			
mnxr02c2b	1 MNXM1@MNXC2 <==> 1 MNXM1@BOUNDARY	EX_h_e	MNXR02			mnx:MNXR02;MNXR02;bigg.reaction:EX_h_e;bigg.reaction:R_EX_h_e;biggR:EX_h_e;biggR:R_EX_h_e
mnxr100024c3	1 MNXM1@MNXC3 + 1 MNXM37@MNXC3 + 1 MNXM40333@MNXC3 + 1 MNXM9@MNXC3 <-- 1 MNXM3@MNXC3 + 1 MNXM729302@MNXC3 + 1 MNXM741173@MNXC3	GLNS	MNXR100024	6.3.1.2		rheaR:16169;bigg.reaction:GALh;bigg.reaction:GALm;bigg.reaction:GLNS;bigg.reaction:GLNS_1;bigg.reaction:R_GALh;bigg.reaction:R_GALm;bigg.reaction:R_GLNS;bigg.reaction:R_GLNS_1;biggR:GALh;biggR:GALm;biggR:GLNS;biggR:GLNS_1;biggR:R_GALh;biggR:R_GALm;biggR:R_GLNS;biggR:R_GLNS_1;kegg.reaction:R00253;keggR:R00253;metacyc.reaction:GLUTAMINESYN-RXN;metacycR:GLUTAMINESYN-RXN;rhea:16169;rhea:16170;rhea:16171;rhea:16172;rheaR:16170;rheaR:16171;rheaR:16172;sabiork.reaction:760;sabiorkR:760;seed.reaction:rxn00187;seed.reaction:rxn19835;seed.reaction:rxn19836;seed.reaction:rxn30022;seed.reaction:rxn33952;seed.reaction:rxn33953;seed.reaction:rxn34791;seed.reaction:rxn34792;seedR:rxn00187;seedR:rxn19835;seedR:rxn19836;seedR:rxn30022;seedR:rxn33952;seedR:rxn33953;seedR:rxn34791;seedR:rxn34792
mnxr100030c3	1 MNXM37@MNXC3 + 1 WATER@MNXC3 --> 1 MNXM729302@MNXC3 + 1 MNXM741173@MNXC3	GLUN	MNXR100030	1.4.1.13;1.4.1.14;1.4.7.1;2.4.2;2.4.2.14;3.5.1.2;3.5.1.38;4.3.1;4.3.3.6;6.3.4.2;6.3.5.2;6.3.5.4;6.3.5.5;6.3.5.7		rheaR:15889;bigg.reaction:GAM;bigg.reaction:GLUN;bigg.reaction:GLUN_1;bigg.reaction:GLUNm;bigg.reaction:GLUNpp;bigg.reaction:R_GAM;bigg.reaction:R_GLUN;bigg.reaction:R_GLUN_1;bigg.reaction:R_GLUNm;bigg.reaction:R_GLUNpp;biggR:GAM;biggR:GLUN;biggR:GLUN_1;biggR:GLUNm;biggR:GLUNpp;biggR:R_GAM;biggR:R_GLUN;biggR:R_GLUN_1;biggR:R_GLUNm;biggR:R_GLUNpp;kegg.reaction:R00256;keggR:R00256;metacyc.reaction:GLUTAMIN-RXN;metacycR:GLUTAMIN-RXN;rhea:15889;rhea:15890;rhea:15891;rhea:15892;rheaR:15890;rheaR:15891;rheaR:15892;sabiork.reaction:762;sabiorkR:762;seed.reaction:rxn00189;seed.reaction:rxn19831;seed.reaction:rxn29962;seed.reaction:rxn30024;seed.reaction:rxn30680;seed.reaction:rxn34787;seedR:rxn00189;seedR:rxn19831;seedR:rxn29962;seedR:rxn30024;seedR:rxn30680;seedR:rxn34787
mnxr100086c3	1 MNXM1@MNXC3 + 1 MNXM20@MNXC3 + 1 MNXM729302@MNXC3 + 1 MNXM738702@MNXC3 <==> 1 MNXM5@MNXC3 + 1 MNXM741173@MNXC3 + 1 WATER@MNXC3	GLUDy	MNXR100086	1.4.1.13;1.4.1.3;1.4.1.4		rheaR:11612;bigg.reaction:GDH_nadp;bigg.reaction:GLUDy;bigg.reaction:GLUDy_1;bigg.reaction:GLUDym;bigg.reaction:R_GDH_nadp;bigg.reaction:R_GLUDy;bigg.reaction:R_GLUDy_1;bigg.reaction:R_GLUDym;biggR:GDH_nadp;biggR:GLUDy;biggR:GLUDy_1;biggR:GLUDym;biggR:R_GDH_nadp;biggR:R_GLUDy;biggR:R_GLUDy_1;biggR:R_GLUDym;kegg.reaction:R00248;keggR:R00248;metacyc.reaction:GLUTDEHYD-RXN;metacyc.reaction:RXN-20084;metacycR:GLUTDEHYD-RXN;metacycR:RXN-20084;rhea:11612;rhea:11613;rhea:11614;rhea:11615;rheaR:11613;rheaR:11614;rheaR:11615;sabiork.reaction:757;sabiorkR:757;seed.reaction:rxn00184;seed.reaction:rxn27887;seed.reaction:rxn30023;seed.reaction:rxn33943;seed.reaction:rxn34794;seedR:rxn00184;seedR:rxn27887;seedR:rxn30023;seedR:rxn33943;seedR:rxn34794
mnxr100258c3c2	1 MNXM1@MNXC3 + 1 MNXM37@MNXC3 + 1 MNXM40333@MNXC3 + 1 MNXM9@MNXC3 <-- 1 MNXM37@MNXC2 + 1 MNXM3@MNXC3 + 1 WATER@MNXC3	GLNabc	MNXR100258	3.6.3.21;7.4.2.1		seedR:rxn05155;bigg.reaction:GLNabc;bigg.reaction:GLNabcpp;bigg.reaction:R_GLNabc;bigg.reaction:R_GLNabcpp;biggR:GLNabc;biggR:GLNabcpp;biggR:R_GLNabc;biggR:R_GLNabcpp;metacyc.reaction:ABC-12-RXN;metacycR:ABC-12-RXN;seed.reaction:rxn05155;seed.reaction:rxn05196;seed.reaction:rxn08624;seed.reaction:rxn11101;seed.reaction:rxn11233;seedR:rxn05196;seedR:rxn08624;seedR:rxn11101;seedR:rxn11233
mnxr100259c2b	1 MNXM37@MNXC2 --> 1 MNXM37@BOUNDARY	EX_gln__L_e	MNXR100259			seedR:rxn08625;bigg.reaction:EX_gln__L_e;bigg.reaction:GLNt;bigg.reaction:GLNtex;bigg.reaction:GLNtm;bigg.reaction:R_EX_gln__L_e;bigg.reaction:R_GLNt;bigg.reaction:R_GLNtex;bigg.reaction:R_GLNtm;bigg.reaction:R_SK_gln__L_c;bigg.reaction:SK_gln__L_c;biggR:EX_gln__L_e;biggR:GLNt;biggR:GLNtex;biggR:GLNtm;biggR:R_EX_gln__L_e;biggR:R_GLNt;biggR:R_GLNtex;biggR:R_GLNtm;biggR:R_SK_gln__L_c;biggR:SK_gln__L_c;metacyc.reaction:TRANS-RXN-233;metacycR:TRANS-RXN-233;sabiork.reaction:13421;sabiork.reaction:14547;sabiorkR:13421;sabiorkR:14547;seed.reaction:rxn08625;seed.reaction:rxn10928;seed.reaction:rxn29086;seed.reaction:rxn29087;seed.reaction:rxn33058;seedR:rxn10928;seedR:rxn29086;seedR:rxn29087;seedR:rxn33058
mnxr100291c3	1 MNXM1@MNXC3 + 1 MNXM20@MNXC3 + 1 MNXM37@MNXC3 + 1 MNXM738702@MNXC3 --> 1 MNXM5@MNXC3 + 2 MNXM741173@MNXC3	GLUSy	MNXR100291	1.4.1.13		rheaR:15501;bigg.reaction:GLUS_nadph;bigg.reaction:GLUSy;bigg.reaction:R_GLUS_nadph;bigg.reaction:R_GLUSy;biggR:GLUS_nadph;biggR:GLUSy;biggR:R_GLUS_nadph;biggR:R_GLUSy;kegg.reaction:R00114;keggR:R00114;metacyc.reaction:GLUTAMATESYN-RXN;metacycR:GLUTAMATESYN-RXN;rhea:15501;rhea:15502;rhea:15503;rhea:15504;rheaR:15502;rheaR:15503;rheaR:15504;sabiork.reaction:694;sabiorkR:694;seed.reaction:rxn00085;seed.reaction:rxn27889;seed.reaction:rxn33967;seedR:rxn00085;seedR:rxn27889;seedR:rxn33967
mnxr100300c2c3	1 MNXM01@MNXC2 + 1 MNXM741173@MNXC2 <==> 1 MNXM01@MNXC3 + 1 MNXM741173@MNXC3	GLUt2r	MNXR100300			seedR:rxn05297;bigg.reaction:GLUt2m;bigg.reaction:GLUt2n;bigg.reaction:GLUt2r;bigg.reaction:GLUt2rpp;bigg.reaction:GLUt7;bigg.reaction:GLUth;bigg.reaction:R_GLUt2m;bigg.reaction:R_GLUt2n;bigg.reaction:R_GLUt2r;bigg.reaction:R_GLUt2rpp;bigg.reaction:R_GLUt7;bigg.reaction:R_GLUth;biggR:GLUt2m;biggR:GLUt2n;biggR:GLUt2r;biggR:GLUt2rpp;biggR:GLUt7;biggR:GLUth;biggR:R_GLUt2m;biggR:R_GLUt2n;biggR:R_GLUt2r;biggR:R_GLUt2rpp;biggR:R_GLUt7;biggR:R_GLUth;metacyc.reaction:RXN-14654;metacycR:RXN-14654;seed.reaction:rxn05297;seed.reaction:rxn08631;seed.reaction:rxn09751;seed.reaction:rxn09813;seed.reaction:rxn13303;seed.reaction:rxn34378;seed.reaction:rxn43863;seedR:rxn08631;seedR:rxn09751;seedR:rxn09813;seedR:rxn13303;seedR:rxn34378;seedR:rxn43863
