#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
ACALD	b0351;b1241	-1000	1000	B
ACALDt	s0001	-1000	1000	B
ACKr	b1849;b2296;b3115	-1000	1000	B
ACONTa	b0118;b1276	-1000	1000	B
ACONTb	b0118;b1276	-1000	1000	B
ACt2r		-1000	1000	B
ADK1	b0474	-1000	1000	B
AKGDH	b0116+b0726+b0727	0	1000	LR
AKGt2r	b2587	-1000	1000	B
ALCD2x	b0356;b1241;b1478	-1000	1000	B
ATPM		8.39	1000	LR
ATPS4r	b3731+b3732+b3733+b3734+b3735+b3736+b3737+b3738;b3731+b3732+b3733+b3734+b3735+b3736+b3737+b3738+b3739	-1000	1000	B
BIOMASS_EXT		0	1000	LR
BIOMASS_Ecoli_core_w_GAM		0	1000	LR
CO2t	s0001	-1000	1000	B
CS	b0720	0	1000	LR
CYTBD	b0733+b0734;b0978+b0979	0	1000	LR
D_LACt2	b2975;b3603	-1000	1000	B
ENO	b2779	-1000	1000	B
ETOHt2r		-1000	1000	B
EX_ac_e		0	1000	LR
EX_acald_e		0	1000	LR
EX_akg_e		0	1000	LR
EX_co2_e		-1000	1000	B
EX_etoh_e		0	1000	LR
EX_for_e		0	1000	LR
EX_fru_e		0	1000	LR
EX_fum_e		0	1000	LR
EX_glc__D_e		-10	1000	B
EX_gln__L_e		0	1000	LR
EX_glu__L_e		0	1000	LR
EX_h2o_e		-1000	1000	B
EX_h_e		-1000	1000	B
EX_lac__D_e		0	1000	LR
EX_mal__L_e		0	1000	LR
EX_nh4_e		-1000	1000	B
EX_o2_e		-1000	1000	B
EX_pi_e		-1000	1000	B
EX_pyr_e		0	1000	LR
EX_succ_e		0	1000	LR
FBA	b1773;b2097;b2925	-1000	1000	B
FBP	b3925;b4232	0	1000	LR
FORt	b0904;b2492	-1000	0	B
FORt2	b0904;b2492	0	1000	LR
FRD7	b4151+b4152+b4153+b4154	0	1000	LR
FRUpts2	b1817+b1818+b1819+b2415+b2416	0	1000	LR
FUM	b1611;b1612;b4122	-1000	1000	B
FUMt2_2	b3528	0	1000	LR
G6PDH2r	b1852	-1000	1000	B
GAPD	b1779	-1000	1000	B
GLCpts	b1101+b2415+b2416+b2417;b1621+b2415+b2416+b2417;b1817+b1818+b1819+b2415+b2416	0	1000	LR
GLNS	b1297;b3870	0	1000	LR
GLNabc	b0809+b0810+b0811	0	1000	LR
GLUDy	b1761	-1000	1000	B
GLUN	b0485;b1524;b1812	0	1000	LR
GLUSy	b3212+b3213	0	1000	LR
GLUt2r	b4077	-1000	1000	B
GND	b2029	0	1000	LR
H2Ot	b0875;s0001	-1000	1000	B
ICDHyr	b1136	-1000	1000	B
ICL	b4015	0	1000	LR
LDH_D	b1380;b2133	-1000	1000	B
MALS	b2976;b4014	0	1000	LR
MALt2_2	b3528	0	1000	LR
MDH	b3236	-1000	1000	B
ME1	b1479	0	1000	LR
ME2	b2463	0	1000	LR
NADH16	b2276+b2277+b2278+b2279+b2280+b2281+b2282+b2283+b2284+b2285+b2286+b2287+b2288	0	1000	LR
NADTRHD	b1602+b1603;b3962	0	1000	LR
NH4t	b0451;s0001	-1000	1000	B
O2t	s0001	-1000	1000	B
PDH	b0114+b0115+b0116	0	1000	LR
PFK	b1723;b3916	0	1000	LR
PFL	b0902+b0903;b0902+b0903+b2579;b0902+b3114;b3951+b3952	0	1000	LR
PGI	b4025	-1000	1000	B
PGK	b2926	-1000	1000	B
PGL	b0767	0	1000	LR
PGM	b0755;b3612;b4395	-1000	1000	B
PIt2r	b2987;b3493	-1000	1000	B
PPC	b3956	0	1000	LR
PPCK	b3403	0	1000	LR
PPS	b1702	0	1000	LR
PTAr	b2297;b2458	-1000	1000	B
PYK	b1676;b1854	0	1000	LR
PYRt2		-1000	1000	B
RPE	b3386;b4301	-1000	1000	B
RPI	b2914;b4090	-1000	1000	B
SUCCt2_2	b3528	0	1000	LR
SUCCt3		0	1000	LR
SUCDi	b0721+b0722+b0723+b0724	0	1000	LR
SUCOAS	b0728+b0729	-1000	1000	B
TALA	b0008;b2464	-1000	1000	B
THD2	b1602+b1603	0	1000	LR
TKT1	b2465;b2935	-1000	1000	B
TKT2	b2465;b2935	-1000	1000	B
TPI	b3919	-1000	1000	B
