#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
ACALD	1 M_acald@c + 1 M_coa@c + 1 M_nad@c <==> 1 M_accoa@c + 1 M_h@c + 1 M_nadh@c	ACALD		1.2.1.10		biggR:ACALD;keggR:R00228;metacycR:ACETALD-DEHYDROG-RXN;mnx:MNXR95210;rheaR:23288;rheaR:23289;rheaR:23290;rheaR:23291;sabiork:163;seedR:rxn00171
ACALDt	1 M_acald@e <==> 1 M_acald@c	ACALDt				biggR:ACALDt;mnx:MNXR95212;reactomeR:R-HSA-449872;seedR:rxn08032;seedR:rxn08033;seedR:rxn09700;seedR:rxn13212
ACKr	1 M_ac@c + 1 M_atp@c <==> 1 M_actp@c + 1 M_adp@c	ACKr		2.7.2.1;2.7.2.15		biggR:ACKr;keggR:R00315;metacycR:ACETATEKIN-RXN;mnx:MNXR95269;rheaR:11352;rheaR:11353;rheaR:11354;rheaR:11355;sabiork:71;seedR:rxn00225
ACONTa	1 M_cit@c <==> 1 M_acon_C@c + 1 M_h2o@c	ACONTa		4.2.1.3		biggR:ACONTa;keggR:R01325;metacycR:ACONITATEDEHYDR-RXN;mnx:MNXR95386;rheaR:10228;rheaR:10229;rheaR:10230;rheaR:10231;sabiork:268;seedR:rxn00974
ACONTb	1 M_acon_C@c + 1 M_h2o@c <==> 1 M_icit@c	ACONTb		4.2.1.3		biggR:ACONTb;keggR:R01900;mnx:MNXR95387;rheaR:22144;rheaR:22145;rheaR:22146;rheaR:22147;seedR:rxn01388
ACt2r	1 M_ac@e + 1 M_h@e <==> 1 M_ac@c + 1 M_h@c	ACt2r				biggR:ACt2r;metacycR:TRANS-RXN0-571;mnx:MNXR95429;seedR:rxn05488;seedR:rxn08061
ADK1	1 M_amp@c + 1 M_atp@c <==> 2 M_adp@c	ADK1		2.7.4.3		biggR:ADK1;keggR:R00127;metacycR:ADENYL-KIN-RXN;mnx:MNXR95450;reactomeR:R-ATH-110144;reactomeR:R-ATH-110145;reactomeR:R-BTA-110144;reactomeR:R-BTA-110145;reactomeR:R-CEL-110144;reactomeR:R-CEL-110145;reactomeR:R-CFA-110144;reactomeR:R-CFA-110145;reactomeR:R-DDI-110144;reactomeR:R-DDI-110145;reactomeR:R-DME-110144;reactomeR:R-DME-110145;reactomeR:R-DRE-110144;reactomeR:R-DRE-110145;reactomeR:R-GGA-110144;reactomeR:R-GGA-110145;reactomeR:R-HSA-110144;reactomeR:R-HSA-110145;reactomeR:R-MMU-110144;reactomeR:R-MMU-110145;reactomeR:R-OSA-110144;reactomeR:R-OSA-110145;reactomeR:R-PFA-110144;reactomeR:R-PFA-110145;reactomeR:R-RNO-110144;reactomeR:R-RNO-110145;reactomeR:R-SCE-110144;reactomeR:R-SCE-110145;reactomeR:R-SPO-110144;reactomeR:R-SPO-110145;reactomeR:R-SSC-110144;reactomeR:R-SSC-110145;reactomeR:R-TGU-110144;reactomeR:R-TGU-110145;reactomeR:R-XTR-110144;reactomeR:R-XTR-110145;rheaR:12973;rheaR:12974;rheaR:12975;rheaR:12976;sabiork:82;seedR:rxn00097
AKGDH	1 M_akg@c + 1 M_coa@c + 1 M_nad@c --> 1 M_co2@c + 1 M_nadh@c + 1 M_succoa@c	AKGDH		1.2.1.52;1.2.4.2;1.8.1.4;2.3.1.61		biggR:AKGDH;keggR:R08549;metacycR:2OXOGLUTARATEDEH-RXN;mnx:MNXR95655;reactomeR:R-ATH-71401;reactomeR:R-BTA-71401;reactomeR:R-CEL-71401;reactomeR:R-CFA-71401;reactomeR:R-DDI-71401;reactomeR:R-DME-71401;reactomeR:R-DRE-71401;reactomeR:R-GGA-373042;reactomeR:R-GGA-71401;reactomeR:R-HSA-71401;reactomeR:R-MMU-71401;reactomeR:R-OSA-71401;reactomeR:R-PFA-71401;reactomeR:R-RNO-71401;reactomeR:R-SCE-71401;reactomeR:R-SPO-71401;reactomeR:R-SSC-71401;reactomeR:R-TGU-71401;reactomeR:R-XTR-71401;rheaR:27786;rheaR:27787;rheaR:27788;rheaR:27789;sabiork:8163;seedR:rxn08094
AKGt2r	1 M_akg@e + 1 M_h@e <==> 1 M_akg@c + 1 M_h@c	AKGt2r				biggR:AKGt2r;metacycR:TRANS-RXN-23;mnx:MNXR95661;rheaR:29011;rheaR:29012;rheaR:29013;rheaR:29014;seedR:rxn05493;seedR:rxn08095;seedR:rxn09827
ALCD2x	1 M_etoh@c + 1 M_nad@c <==> 1 M_acald@c + 1 M_h@c + 1 M_nadh@c	ALCD2x		1.1.1.1;1.1.1.71		biggR:ALCD2x;keggR:R00754;metacycR:ALCOHOL-DEHYDROG-RXN;mnx:MNXR95725;reactomeR:R-ATH-71707;reactomeR:R-BTA-71707;reactomeR:R-CEL-71707;reactomeR:R-CFA-71707;reactomeR:R-DDI-71707;reactomeR:R-DME-71707;reactomeR:R-DRE-71707;reactomeR:R-GGA-71707;reactomeR:R-HSA-71707;reactomeR:R-MMU-71707;reactomeR:R-OSA-71707;reactomeR:R-RNO-71707;reactomeR:R-SCE-71707;reactomeR:R-SPO-71707;reactomeR:R-SSC-71707;reactomeR:R-TGU-71707;reactomeR:R-XTR-71707;rheaR:25290;rheaR:25291;rheaR:25292;rheaR:25293;sabiork:597;seedR:rxn00543
