#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
mnxr01c19	SPONTANEOUS	-1000	1000	B
mnxr01c2	SPONTANEOUS	-1000	1000	B
mnxr01c3	SPONTANEOUS	-1000	1000	B
mnxr02c2b		-1000	1000	B
mnxr03c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr100018c19c3	PT1_ECOLI+PTHP_ECOLI+PTKA_ECOLI+PTKB_ECOLI+PTKC_ECOLI	0	1000	LR
mnxr100019c2b		0	1000	LR
mnxr100019c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr100024c3	GLN1B_ECOLI	-1000	0	RL
mnxr100030c19	ASPG2_ECOLI	0	1000	LR
mnxr100030c3	GLSA1_ECOLI;GLSA2_ECOLI	0	1000	LR
mnxr100060c3	ALDA_ECOLI	-1000	0	RL
mnxr100074c3	GSH1_ECOLI	-1000	0	RL
mnxr100086c3	DHE4_ECOLI;GLTB_ECOLI+GLTD_ECOLI	-1000	1000	B
mnxr100098c3	GSHR_ECOLI	-1000	1000	B
mnxr100099c3	GPPA_ECOLI	-1000	0	RL
mnxr100113c3	PUUC_ECOLI	-1000	1000	B
mnxr100114c3	PUUD_ECOLI	0	1000	LR
mnxr100136c19	GGT_ECOLI	0	1000	LR
mnxr100177c19c3	DHG_ECOLI;YLII_ECOLI	0	1000	LR
mnxr100209c3c19	GNTP_ECOLI;GNTT_ECOLI;GNTU_ECOLI;IDNT_ECOLI	-1000	1000	B
mnxr100210c2b		0	1000	LR
mnxr100210c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr100219c3	GARL_ECOLI	-1000	0	RL
mnxr100236c3c19	DGAL_ECOLI+MGLA_ECOLI+MGLC_ECOLI	0	1000	LR
mnxr100238c3c19	GALP_ECOLI	0	1000	LR
mnxr100258c3c19	GLNH_ECOLI+GLNP_ECOLI+GLNQ_ECOLI	-1000	0	RL
mnxr100259c2b		0	1000	LR
mnxr100259c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr100276c3c19	GADC_ECOLI	-1000	1000	B
mnxr100277c3	PROB_ECOLI	-1000	0	RL
mnxr100285c3c19	GLTS_ECOLI	0	1000	LR
mnxr100288c3	MURI_ECOLI	-1000	1000	B
mnxr100291c3	GLTB_ECOLI+GLTD_ECOLI	0	1000	LR
mnxr100299c3c19	GLTI_ECOLI+GLTJ_ECOLI+GLTK_ECOLI+GLTL_ECOLI	-1000	0	RL
mnxr100300c3c19	GLTP_ECOLI	-1000	1000	B
mnxr100303c3	GCL_ECOLI	-1000	0	RL
mnxr100308c2b		0	1000	LR
mnxr100308c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr100311c2b		0	1000	LR
mnxr100311c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr100311c3c19	GLPF_ECOLI	-1000	1000	B
mnxr100314c3c19	PROV_ECOLI+PROW_ECOLI+PROX_ECOLI;YEHW_ECOLI+YEHX_ECOLI+YEHY_ECOLI+YEHZ_ECOLI	-1000	0	RL
mnxr100315c3c19	PROP_ECOLI;YEAV_ECOLI	0	1000	LR
mnxr100317c2b		0	1000	LR
mnxr100317c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr100318c3c19	UGPA_ECOLI+UGPB_ECOLI+UGPC_ECOLI+UGPE_ECOLI	-1000	0	RL
mnxr100319c2b		0	1000	LR
mnxr100319c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr100320c3c19	UGPA_ECOLI+UGPB_ECOLI+UGPC_ECOLI+UGPE_ECOLI	-1000	0	RL
mnxr100321c3c19	GLPT_ECOLI	0	1000	LR
