#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
mnxr01c19	1 MNXM01@MNXC19 <==> 1 MNXM1@MNXC19		MNXR01			
mnxr01c2	1 MNXM01@MNXC2 <==> 1 MNXM1@MNXC2		MNXR01			
mnxr01c3	1 MNXM01@MNXC3 <==> 1 MNXM1@MNXC3		MNXR01			
mnxr02c2b	1 MNXM1@MNXC2 <==> 1 MNXM1@BOUNDARY	EX_h_e	MNXR02			mnx:MNXR02;MNXR02;bigg.reaction:EX_h_e;bigg.reaction:R_EX_h_e;biggR:EX_h_e;biggR:R_EX_h_e
mnxr03c2c19	1 MNXM01@MNXC19 <==> 1 MNXM01@MNXC2	Htex	MNXR03			mnx:MNXR03;MNXR03;bigg.reaction:HMR_1095;bigg.reaction:Ht;bigg.reaction:Htcx;bigg.reaction:Htex;bigg.reaction:Htg;bigg.reaction:Hth;bigg.reaction:Htl;bigg.reaction:Htm;bigg.reaction:Htm_cho;bigg.reaction:Htmi;bigg.reaction:Htr;bigg.reaction:Hts;bigg.reaction:Htu;bigg.reaction:Htx;bigg.reaction:PCXHtpp;bigg.reaction:R_HMR_1095;bigg.reaction:R_Ht;bigg.reaction:R_Htcx;bigg.reaction:R_Htex;bigg.reaction:R_Htg;bigg.reaction:R_Hth;bigg.reaction:R_Htl;bigg.reaction:R_Htm;bigg.reaction:R_Htm_cho;bigg.reaction:R_Htmi;bigg.reaction:R_Htr;bigg.reaction:R_Hts;bigg.reaction:R_Htu;bigg.reaction:R_Htx;bigg.reaction:R_PCXHtpp;biggR:HMR_1095;biggR:Ht;biggR:Htcx;biggR:Htex;biggR:Htg;biggR:Hth;biggR:Htl;biggR:Htm;biggR:Htm_cho;biggR:Htmi;biggR:Htr;biggR:Hts;biggR:Htu;biggR:Htx;biggR:PCXHtpp;biggR:R_HMR_1095;biggR:R_Ht;biggR:R_Htcx;biggR:R_Htex;biggR:R_Htg;biggR:R_Hth;biggR:R_Htl;biggR:R_Htm;biggR:R_Htm_cho;biggR:R_Htmi;biggR:R_Htr;biggR:R_Hts;biggR:R_Htu;biggR:R_Htx;biggR:R_PCXHtpp;metacyc.reaction:RXN-13519;metacyc.reaction:TRANS-RXN-218;metacyc.reaction:TRANS-RXN-395;metacycR:RXN-13519;metacycR:TRANS-RXN-218;metacycR:TRANS-RXN-395;rhea:34979;rhea:34980;rhea:34981;rhea:34982;rheaR:34979;rheaR:34980;rheaR:34981;rheaR:34982;sabiork.reaction:14473;sabiorkR:14473;seed.reaction:rxn08730;seed.reaction:rxn11009;seed.reaction:rxn13646;seed.reaction:rxn22797;seed.reaction:rxn26298;seed.reaction:rxn27372;seed.reaction:rxn28230;seed.reaction:rxn28701;seed.reaction:rxn29081;seed.reaction:rxn31161;seed.reaction:rxn31178;seed.reaction:rxn31202;seed.reaction:rxn34471;seedR:rxn08730;seedR:rxn11009;seedR:rxn13646;seedR:rxn22797;seedR:rxn26298;seedR:rxn27372;seedR:rxn28230;seedR:rxn28701;seedR:rxn29081;seedR:rxn31161;seedR:rxn31178;seedR:rxn31202;seedR:rxn34471
mnxr100018c19c3	1 MNXM1233@MNXC19 + 1 MNXM73@MNXC3 --> 1 MNXM23@MNXC3 + 1 MNXM731248@MNXC3	GALTptspp	MNXR100018			seedR:rxn05567;bigg.reaction:GALTpts;bigg.reaction:GALTptspp;bigg.reaction:R_GALTpts;bigg.reaction:R_GALTptspp;biggR:GALTpts;biggR:GALTptspp;biggR:R_GALTpts;biggR:R_GALTptspp;seed.reaction:rxn05567;seed.reaction:rxn08586;seedR:rxn08586
mnxr100019c2b	1 MNXM1233@MNXC2 --> 1 MNXM1233@BOUNDARY	EX_galt_e	MNXR100019			rheaR:33143;bigg.reaction:EX_galt_e;bigg.reaction:GALTt;bigg.reaction:GALTtex;bigg.reaction:R_EX_galt_e;bigg.reaction:R_GALTt;bigg.reaction:R_GALTtex;biggR:EX_galt_e;biggR:GALTt;biggR:GALTtex;biggR:R_EX_galt_e;biggR:R_GALTt;biggR:R_GALTtex;rhea:33143;rhea:33144;rhea:33145;rhea:33146;rheaR:33144;rheaR:33145;rheaR:33146;seed.reaction:rxn08587;seed.reaction:rxn29468;seedR:rxn08587;seedR:rxn29468
mnxr100019c2c19	1 MNXM1233@MNXC19 <==> 1 MNXM1233@MNXC2	GALTtex	MNXR100019			rheaR:33143;bigg.reaction:EX_galt_e;bigg.reaction:GALTt;bigg.reaction:GALTtex;bigg.reaction:R_EX_galt_e;bigg.reaction:R_GALTt;bigg.reaction:R_GALTtex;biggR:EX_galt_e;biggR:GALTt;biggR:GALTtex;biggR:R_EX_galt_e;biggR:R_GALTt;biggR:R_GALTtex;rhea:33143;rhea:33144;rhea:33145;rhea:33146;rheaR:33144;rheaR:33145;rheaR:33146;seed.reaction:rxn08587;seed.reaction:rxn29468;seedR:rxn08587;seedR:rxn29468
mnxr100024c3	1 MNXM1@MNXC3 + 1 MNXM37@MNXC3 + 1 MNXM40333@MNXC3 + 1 MNXM9@MNXC3 <-- 1 MNXM3@MNXC3 + 1 MNXM729302@MNXC3 + 1 MNXM741173@MNXC3	GLNS	MNXR100024	6.3.1.2		rheaR:16169;bigg.reaction:GALh;bigg.reaction:GALm;bigg.reaction:GLNS;bigg.reaction:GLNS_1;bigg.reaction:R_GALh;bigg.reaction:R_GALm;bigg.reaction:R_GLNS;bigg.reaction:R_GLNS_1;biggR:GALh;biggR:GALm;biggR:GLNS;biggR:GLNS_1;biggR:R_GALh;biggR:R_GALm;biggR:R_GLNS;biggR:R_GLNS_1;kegg.reaction:R00253;keggR:R00253;metacyc.reaction:GLUTAMINESYN-RXN;metacycR:GLUTAMINESYN-RXN;rhea:16169;rhea:16170;rhea:16171;rhea:16172;rheaR:16170;rheaR:16171;rheaR:16172;sabiork.reaction:760;sabiorkR:760;seed.reaction:rxn00187;seed.reaction:rxn19835;seed.reaction:rxn19836;seed.reaction:rxn30022;seed.reaction:rxn33952;seed.reaction:rxn33953;seed.reaction:rxn34791;seed.reaction:rxn34792;seedR:rxn00187;seedR:rxn19835;seedR:rxn19836;seedR:rxn30022;seedR:rxn33952;seedR:rxn33953;seedR:rxn34791;seedR:rxn34792
mnxr100030c19	1 MNXM37@MNXC19 + 1 WATER@MNXC19 --> 1 MNXM729302@MNXC19 + 1 MNXM741173@MNXC19	GLUNpp	MNXR100030	1.4.1.13;1.4.1.14;1.4.7.1;2.4.2;2.4.2.14;3.5.1.2;3.5.1.38;4.3.1;4.3.3.6;6.3.4.2;6.3.5.2;6.3.5.4;6.3.5.5;6.3.5.7		rheaR:15889;bigg.reaction:GAM;bigg.reaction:GLUN;bigg.reaction:GLUN_1;bigg.reaction:GLUNm;bigg.reaction:GLUNpp;bigg.reaction:R_GAM;bigg.reaction:R_GLUN;bigg.reaction:R_GLUN_1;bigg.reaction:R_GLUNm;bigg.reaction:R_GLUNpp;biggR:GAM;biggR:GLUN;biggR:GLUN_1;biggR:GLUNm;biggR:GLUNpp;biggR:R_GAM;biggR:R_GLUN;biggR:R_GLUN_1;biggR:R_GLUNm;biggR:R_GLUNpp;kegg.reaction:R00256;keggR:R00256;metacyc.reaction:GLUTAMIN-RXN;metacycR:GLUTAMIN-RXN;rhea:15889;rhea:15890;rhea:15891;rhea:15892;rheaR:15890;rheaR:15891;rheaR:15892;sabiork.reaction:762;sabiorkR:762;seed.reaction:rxn00189;seed.reaction:rxn19831;seed.reaction:rxn29962;seed.reaction:rxn30024;seed.reaction:rxn30680;seed.reaction:rxn34787;seedR:rxn00189;seedR:rxn19831;seedR:rxn29962;seedR:rxn30024;seedR:rxn30680;seedR:rxn34787
mnxr100030c3	1 MNXM37@MNXC3 + 1 WATER@MNXC3 --> 1 MNXM729302@MNXC3 + 1 MNXM741173@MNXC3	GLUN	MNXR100030	1.4.1.13;1.4.1.14;1.4.7.1;2.4.2;2.4.2.14;3.5.1.2;3.5.1.38;4.3.1;4.3.3.6;6.3.4.2;6.3.5.2;6.3.5.4;6.3.5.5;6.3.5.7		rheaR:15889;bigg.reaction:GAM;bigg.reaction:GLUN;bigg.reaction:GLUN_1;bigg.reaction:GLUNm;bigg.reaction:GLUNpp;bigg.reaction:R_GAM;bigg.reaction:R_GLUN;bigg.reaction:R_GLUN_1;bigg.reaction:R_GLUNm;bigg.reaction:R_GLUNpp;biggR:GAM;biggR:GLUN;biggR:GLUN_1;biggR:GLUNm;biggR:GLUNpp;biggR:R_GAM;biggR:R_GLUN;biggR:R_GLUN_1;biggR:R_GLUNm;biggR:R_GLUNpp;kegg.reaction:R00256;keggR:R00256;metacyc.reaction:GLUTAMIN-RXN;metacycR:GLUTAMIN-RXN;rhea:15889;rhea:15890;rhea:15891;rhea:15892;rheaR:15890;rheaR:15891;rheaR:15892;sabiork.reaction:762;sabiorkR:762;seed.reaction:rxn00189;seed.reaction:rxn19831;seed.reaction:rxn29962;seed.reaction:rxn30024;seed.reaction:rxn30680;seed.reaction:rxn34787;seedR:rxn00189;seedR:rxn19831;seedR:rxn29962;seedR:rxn30024;seedR:rxn30680;seedR:rxn34787
