#MetaNetX/TSV/chemicals.tsv 1.1
#ID    name    source    formula    mass    charge    xrefs
BIOMASS	Biomass	BIOMASS@c				mnx:BIOMASS
M_10fthf	10-Formyltetrahydrofolate	M_10fthf_c	C20H21N7O7		-2	bigg:10fthf;chebi:11304;chebi:15637;chebi:19108;chebi:19109;chebi:57454;chebi:698;hmdb:HMDB00972;kegg:C00234;metacyc:10-FORMYL-THF;mnx:MNXM237;reactome:419151;reactome:5389850;sabiork:1318;seed:cpd00201
M_12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	M_12dgr120_c;M_12dgr120_p	C27H52O5		0	bigg:12dgr120;mnx:MNXM4939
M_12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	M_12dgr140_c;M_12dgr140_p	C31H60O5		0	bigg:12dgr140;mnx:MNXM146479
M_12dgr141	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	M_12dgr141_c;M_12dgr141_p	C31H56O5		0	bigg:12dgr141;mnx:MNXM4940
M_12dgr160	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	M_12dgr160_c;M_12dgr160_p	C35H68O5		0	bigg:12dgr160;mnx:MNXM3132
M_12dgr161	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	M_12dgr161_c;M_12dgr161_p	C35H64O5		0	bigg:12dgr161;mnx:MNXM3774
M_12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	M_12dgr180_c;M_12dgr180_p	C39H76O5		0	bigg:12dgr180;mnx:MNXM4217
M_12dgr181	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)	M_12dgr181_c;M_12dgr181_p	C39H72O5		0	bigg:12dgr181;mnx:MNXM3775
M_12ppd__R	(R)-Propane-1,2-diol	M_12ppd__R_c;M_12ppd__R_e;M_12ppd__R_p	C3H8O2		0	bigg:12ppd__R;chebi:18705;chebi:28972;chebi:352;chebi:44863;kegg:C02912;metacyc:CPD-8891;mnx:MNXM90191;seed:cpd01861
M_12ppd__S	(S)-Propane-1,2-diol	M_12ppd__S_c;M_12ppd__S_e;M_12ppd__S_p	C3H8O2		0	bigg:12ppd__S;chebi:18799;chebi:29002;chebi:440;chebi:45065;hmdb:HMDB06213;kegg:C02917;metacyc:PROPANE-1-2-DIOL;mnx:MNXM1255;seed:cpd19024
M_13dpg	3-Phospho-D-glyceroyl phosphate	M_13dpg_c	C3H4O10P2		-4	bigg:13dpg;chebi:11881;chebi:16001;chebi:1658;chebi:20189;chebi:57604;hmdb:HMDB62758;kegg:C00236;metacyc:DPG;mnx:MNXM261;reactome:29800;sabiork:21215;seed:cpd00203
M_13ppd	1,3-Propanediol	M_13ppd_c	C3H8O2		0	bigg:13ppd;chebi:14902;chebi:16109;chebi:26286;chebi:44868;chebi:8471;envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/7987e84d-4979-49a1-974e-6d9a36411041;kegg:C02457;metacyc:CPD-347;mnx:MNXM2861;sabiork:2417;seed:cpd01618
M_14dhncoa	1,4-dihydroxy-2-napthoyl-CoA	M_14dhncoa_c	C32H38N7O19P3S		-4	bigg:14dhncoa;mnx:MNXM147663
M_14glucan	1,4-alpha-D-glucan	M_14glucan_c;M_14glucan_e;M_14glucan_p	C36H62O31		0	bigg:14glucan;metacyc:1-4-alpha-D-Glucan;mnx:MNXM2905;seed:cpd21754
M_15dap	1,5-Diaminopentane	M_15dap_c;M_15dap_e;M_15dap_p	C5H16N2		2	bigg:15dap;chebi:13928;chebi:18127;chebi:22974;chebi:3288;chebi:44370;chebi:58384;hmdb:HMDB02322;kegg:C01672;metacyc:CADAVERINE;mnx:MNXM943;sabiork:3091;seed:cpd01155
M_1agpe120	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	M_1agpe120_p	C17H36NO7P1		0	bigg:1agpe120;lipidmaps:LMGP02050005;metacyc:CPD0-2148;mnx:MNXM32692;seed:cpd26432;slm:000030164
M_1agpe140	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	M_1agpe140_p	C19H40NO7P1		0	bigg:1agpe140;chebi:84299;chebi:85215;hmdb:HMDB11500;lipidmaps:LMGP02050003;metacyc:CPD0-2147;mnx:MNXM32693;seed:cpd26431;slm:000030177
M_1agpe141	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	M_1agpe141_p	C19H38NO7P1		0	bigg:1agpe141;mnx:MNXM6599
M_1agpe160	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	M_1agpe160_p	C21H44NO7P1		0	bigg:1agpe160;chebi:73004;chebi:73134;hmdb:HMDB11503;lipidmaps:LMGP02050002;metacyc:CPD-8353;mnx:MNXM32511;seed:cpd25195;slm:000000654
M_1agpe161	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	M_1agpe161_p	C21H42NO7P1		0	bigg:1agpe161;mnx:MNXM6601
M_1agpe180	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	M_1agpe180_p	C23H48NO7P1		0	bigg:1agpe180;chebi:75036;chebi:83047;hmdb:HMDB11130;kegg:C21484;lipidmaps:LMGP02050001;metacyc:CPD0-2152;mnx:MNXM722840;seed:cpd26433;slm:000030172
M_1agpe181	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	M_1agpe181_p	C23H46NO7P1		0	bigg:1agpe181;mnx:MNXM9584
M_1agpg120	1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	M_1agpg120_p	C18H36O9P1		-1	bigg:1agpg120;lipidmaps:LMGP04050011;metacyc:CPD0-2144;mnx:MNXM32695;seed:cpd26430;slm:000043110
M_1agpg140	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	M_1agpg140_p	C20H40O9P1		-1	bigg:1agpg140;chebi:72826;chebi:73092;lipidmaps:LMGP04050012;metacyc:CPD0-2143;mnx:MNXM6603;seed:cpd26429;slm:000000844
M_1agpg141	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	M_1agpg141_p	C20H38O9P1		-1	bigg:1agpg141;mnx:MNXM6604
M_1agpg160	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	M_1agpg160_p	C22H44O9P1		-1	bigg:1agpg160;chebi:72825;chebi:73093;chebi:75158;chebi:75376;lipidmaps:LMGP04050008;metacyc:CPD0-2162;mnx:MNXM6605;seed:cpd26434;slm:000000686
M_1agpg161	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	M_1agpg161_p	C22H42O9P1		-1	bigg:1agpg161;mnx:MNXM6606
M_1agpg180	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	M_1agpg180_p	C24H48O9P1		-1	bigg:1agpg180;chebi:72827;chebi:73091;hmdb:HMDB61697;lipidmaps:LMGP04050009;metacyc:CPD0-2140;mnx:MNXM6607;seed:cpd26428;slm:000000689
M_1agpg181	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	M_1agpg181_p	C24H46O9P1		-1	bigg:1agpg181;chebi:72828;chebi:72952;lipidmaps:LMGP04050006;metacyc:CPD-8365;mnx:MNXM73868;seed:cpd25202;slm:000000847
M_1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	M_1ddecg3p_c;M_1ddecg3p_p	C15H29O7P1		-2	bigg:1ddecg3p;chebi:62840;chebi:72682;hmdb:HMDB62319;lipidmaps:LMGP10050015;metacyc:CPD0-2200;mnx:MNXM4232;seed:cpd15325;slm:000000650
M_1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	M_1hdec9eg3p_c;M_1hdec9eg3p_p	C19H35O7P1		-2	bigg:1hdec9eg3p;mnx:MNXM91047;seed:cpd15326
M_1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate	M_1hdecg3p_c;M_1hdecg3p_p	C19H37O7P1		-2	bigg:1hdecg3p;mnx:MNXM90586;seed:cpd15327
M_1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate	M_1odec11eg3p_c;M_1odec11eg3p_p	C21H39O7P1		-2	bigg:1odec11eg3p;mnx:MNXM91049;seed:cpd15328
M_1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate	M_1odecg3p_c;M_1odecg3p_p	C21H41O7P1		-2	bigg:1odecg3p;chebi:74565;chebi:74850;hmdb:HMDB07854;lipidmaps:LMGP10050005;metacyc:CPD0-2113;mnx:MNXM32950;seed:cpd15329;slm:000000640
