#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
A5PISO	b2708;b3197	-1000	1000	B
AACPS1	b1094+b2836	0	1000	LR
AACPS2	b1094+b2836	0	1000	LR
AACPS3	b1094+b2836	0	1000	LR
AACPS4	b1094+b2836	0	1000	LR
AACPS5	b1094+b2836	0	1000	LR
AACPS6	b1094+b2836	0	1000	LR
AACPS7	b1094+b2836	0	1000	LR
AACPS8	b1094+b2836	0	1000	LR
AACPS9	b1094+b2836	0	1000	LR
AACTOOR		0	1000	LR
AADDGT	b4481	0	1000	LR
AAMYL	b1927	0	1000	LR
AAMYLpp	b3571	0	1000	LR
AB6PGH	b2716;b2901;b3721	0	1000	LR
ABTA	b1302;b2662	0	1000	LR
ABUTD	b1444	0	1000	LR
ABUTt2pp	b2663	0	1000	LR
ABUTtex	b0241;b0929;b1377;b2215	-1000	1000	B
ACACCT	b1694;b2221+b2222	0	1000	LR
ACACT1r	b2224;b2342;b3845	-1000	1000	B
ACACT2r	b2342;b3845	-1000	1000	B
ACACT3r	b2342;b3845	-1000	1000	B
ACACT4r	b2342;b3845	-1000	1000	B
ACACT5r	b2342;b3845	-1000	1000	B
ACACT6r	b2342;b3845	-1000	1000	B
ACACT7r	b2342;b3845	-1000	1000	B
ACACT8r	b2342;b3845	-1000	1000	B
ACACt2pp	b2223	-1000	1000	B
ACACtex	b0241;b0929;b1377;b2215	-1000	1000	B
ACALD	b0351;b1241	-1000	1000	B
ACALDtex	b0241;b0929;b1377;b2215	-1000	1000	B
ACALDtpp	s0001	-1000	1000	B
ACANTHAT	b1463	0	1000	LR
ACBIPGT	b1993	0	1000	LR
ACCOAC	b0185+b2316+b3255+b3256	0	1000	LR
ACCOAL	b0335;b4069	0	1000	LR
ACGAL1PPpp		0	1000	LR
ACGAL1Ptex	b0241;b0929;b1377;b2215	-1000	1000	B
ACGALtex	b0241;b0929;b1377;b2215	-1000	1000	B
ACGAM1PPpp		0	1000	LR
ACGAM1Ptex	b0241;b0929;b1377;b2215	-1000	1000	B
ACGAMK	b1119	0	1000	LR
ACGAMT	b3784	0	1000	LR
ACGAptspp	b0679+b2415+b2416;b1101+b2415+b2416+b2417	0	1000	LR
ACGAtex	b0241;b0929;b1377;b2215	-1000	1000	B
ACGK	b3959	0	1000	LR
ACGS	b2818	0	1000	LR
ACHBS	b0077+b0078;b3670+b3671	0	1000	LR
ACKr	b1849;b2296;b3115	-1000	1000	B
ACLS	b0077+b0078;b3670+b3671	0	1000	LR
ACM6PH	b2428	0	1000	LR
ACMAMUT	b3794	0	1000	LR
ACMANAptspp	b1817+b1818+b1819+b2415+b2416	0	1000	LR
ACMANAtex	b0241;b0929;b1377;b2215	-1000	1000	B
ACMUMptspp	b2415+b2416+b2417+b2429	0	1000	LR
ACMUMtex	b0241;b0929;b1377;b2215	0	1000	LR
ACNAMt2pp	b3224	0	1000	LR
ACNAMtex	b0929;b2215;b4311	-1000	1000	B
ACNML	b3225	0	1000	LR
ACOAD1f	b0221	0	1000	LR
ACOAD1fr	b1695	0	1000	LR
ACOAD2f	b0221	-1000	1000	B
ACOAD3f	b0221	-1000	1000	B
ACOAD4f	b0221	-1000	1000	B
ACOAD5f	b0221	-1000	1000	B
ACOAD6f	b0221	-1000	1000	B
ACOAD7f	b0221	-1000	1000	B
ACOAD8f	b0221	-1000	1000	B
ACOATA	b1091+b1094	-1000	1000	B
ACODA	b3957	0	1000	LR
ACOLIPAabctex	b0054+b0641+b3199+b3200+b3201+b4261+b4262	0	1000	LR
ACONIs	s0001	-1000	1000	B
ACONMT	b1519	0	1000	LR
ACONTa	b0118;b1276	-1000	1000	B
ACONTb	b0118;b1276	-1000	1000	B
ACOTA	b1302;b1748;b2662;b3359	-1000	1000	B
ACOXT	b2371	-1000	1000	B
ACP1_FMN	b0446;b0844;b3812	0	1000	LR
ACP1p	b0383	0	1000	LR
ACPPAT120	b1090+b1094	0	1000	LR
ACPPAT140	b1090+b1094	0	1000	LR
ACPPAT141	b1090+b1094	0	1000	LR
ACPPAT160	b1090+b1094	0	1000	LR
ACPPAT161	b1090+b1094	0	1000	LR
ACPPAT180	b1090+b1094	0	1000	LR
ACPPAT181	b1090+b1094	0	1000	LR
ACPS1	b2563;b3475	0	1000	LR
ACS	b4069	0	1000	LR
ACSERtex	b0241;b0929;b1377;b2215	-1000	1000	B
ACSERtpp	b1533;b2578	0	1000	LR
ACt2rpp	b0010	-1000	1000	B
ACt4pp	b4067	0	1000	LR
ACtex	b0241;b0929;b1377;b2215	-1000	1000	B
ADA	b1623	0	1000	LR
ADCL	b1096;b4039	0	1000	LR
ADCS	b1812+b3360	0	1000	LR
ADD	b3665	0	1000	LR
ADEt2rpp	b3654;b3664;b3714	-1000	1000	B
ADEtex	b0241;b0929;b1377;b2215	-1000	1000	B
ADK1	b0474	-1000	1000	B
ADK3	b0474	-1000	1000	B
ADK4	b0474	-1000	1000	B
ADMDC	b0120	0	1000	LR
ADNCYC	b3806	0	1000	LR
ADNK1	b0474	0	1000	LR
ADNUC	b0030	0	1000	LR
ADNt2pp_copy1	b2393;b2964	0	1000	LR
ADNt2pp_copy2	b2406	-1000	1000	B
ADNtex	b0411	-1000	1000	B
ADOCBIK	b1993	0	1000	LR
ADOCBLS	b1992	0	1000	LR
ADOCBLabcpp	b0158+b1709+b1711	0	1000	LR
ADOCBLtonex	b1252+b3005+b3006+b3966	0	1000	LR
ADPRDP	b3034;b3397	0	1000	LR
ADPT	b0469	0	1000	LR
ADSK	b2750	0	1000	LR
ADSL1r	b1131	-1000	1000	B
ADSL2r	b1131	-1000	1000	B
ADSS	b4177	0	1000	LR
AGDC	b0677	0	1000	LR
AGM3PA	b0110	0	1000	LR
AGM3PApp	b0867;b2435;b2817;b4169	0	1000	LR
AGM3PH	b1107	0	1000	LR
AGM3Pt2pp	b0433	0	1000	LR
AGM4PA	b0110	0	1000	LR
AGM4PApp	b0867;b2435;b2817;b4169	0	1000	LR
AGM4PCP	b1192	0	1000	LR
AGM4PCPpp	b2175	0	1000	LR
AGM4PH	b1107	0	1000	LR
AGM4Pt2pp	b0433	0	1000	LR
AGMH	b1107	0	1000	LR
AGMHE	b3619	0	1000	LR
AGMT	b2937	0	1000	LR
AGMt2pp	b0433	0	1000	LR
AGMtex	b0241;b0929;b1377;b2215	-1000	1000	B
AGPAT120	b3018	0	1000	LR
AGPAT140	b3018	0	1000	LR
AGPAT141	b3018	0	1000	LR
AGPAT160	b3018	0	1000	LR
AGPAT161	b3018	0	1000	LR
AGPAT180	b3018	0	1000	LR
AGPAT181	b3018	0	1000	LR
