#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
A5PISO	1 M_ru5p__D@c <==> 1 M_ara5p@c	A5PISO		5.3.1.13		bigg:A5PISO;biocyc:META:DARAB5PISOM-RXN;kegg:R01530;mnx:MNXR95132;rhea:23104;rhea:23105;rhea:23106;rhea:23107;seed:rxn01117
AACPS1	1 M_ACP@c + 1 M_atp@c + 1 M_ttdca@c --> 1 M_amp@c + 1 M_myrsACP@c + 1 M_ppi@c	AACPS1		6.2.1.20		bigg:AACPS1;mnx:MNXR95138
AACPS2	1 M_ACP@c + 1 M_atp@c + 1 M_ttdcea@c --> 1 M_amp@c + 1 M_ppi@c + 1 M_tdeACP@c	AACPS2		6.2.1.20		bigg:AACPS2;mnx:MNXR95141
AACPS3	1 M_ACP@c + 1 M_atp@c + 1 M_hdca@c --> 1 M_amp@c + 1 M_palmACP@c + 1 M_ppi@c	AACPS3		6.2.1.20		bigg:AACPS3;mnx:MNXR95142
AACPS4	1 M_ACP@c + 1 M_atp@c + 1 M_hdcea@c --> 1 M_amp@c + 1 M_hdeACP@c + 1 M_ppi@c	AACPS4				bigg:AACPS4;mnx:MNXR95143
AACPS5	1 M_ACP@c + 1 M_atp@c + 1 M_ocdcea@c --> 1 M_amp@c + 1 M_octeACP@c + 1 M_ppi@c	AACPS5				bigg:AACPS5;mnx:MNXR95144
AACPS6	1 M_ACP@c + 1 M_atp@c + 1 M_ocdca@c --> 1 M_amp@c + 1 M_ocdcaACP@c + 1 M_ppi@c	AACPS6		6.2.1.20		bigg:AACPS6;mnx:MNXR95145
AACPS7	1 M_ACP@c + 1 M_atp@c + 1 M_ddca@c --> 1 M_amp@c + 1 M_ddcaACP@c + 1 M_ppi@c	AACPS7		6.2.1.l		bigg:AACPS7;mnx:MNXR95146
AACPS8	1 M_ACP@c + 1 M_atp@c + 1 M_dca@c --> 1 M_amp@c + 1 M_dcaACP@c + 1 M_ppi@c	AACPS8		6.2.1.20		bigg:AACPS8;mnx:MNXR95147
AACPS9	1 M_ACP@c + 1 M_atp@c + 1 M_octa@c --> 1 M_amp@c + 1 M_ocACP@c + 1 M_ppi@c	AACPS9		6.2.1.l		bigg:AACPS9;mnx:MNXR95148
AACTOOR	1 M_aact@c + 1 M_h2o@c + 1 M_o2@c --> 1 M_h2o2@c + 1 M_mthgxl@c + 1 M_nh4@c	AACTOOR		1.4.3.21;1.4.3.4;1.4.3.6		bigg:AACTOOR;biocyc:META:AMACETOXID-RXN;kegg:R02529;mnx:MNXR95149;rhea:28186;rhea:28187;rhea:28188;rhea:28189;seed:rxn01833
AADDGT	1 M_dtdp4aaddg@c + 1 M_unagamu@c --> 1 M_dtdp@c + 1 M_h@c + 1 M_unagamuf@c	AADDGT		2.4.1.325		bigg:AADDGT;biocyc:META:FUC4NACTRANS-RXN;mnx:MNXR95151;seed:rxn08023
AAMYL	1 M_14glucan@c --> 1 M_malthx@c	AAMYL				bigg:AAMYL;mnx:MNXR95153
AAMYLpp	1 M_14glucan@p --> 1 M_malthx@p	AAMYLpp				bigg:AAMYLpp;mnx:MNXR95153
AB6PGH	1 M_arbt6p@c + 1 M_h2o@c --> 1 M_g6p@c + 1 M_hqn@c	AB6PGH		3.2.1.86		bigg:AB6PGH;mnx:MNXR95165;seed:rxn08025
ABTA	1 M_4abut@c + 1 M_akg@c --> 1 M_glu__L@c + 1 M_sucsal@c	ABTA		2.6.1.19		bigg:ABTA;biocyc:META:GABATRANSAM-RXN;kegg:R01648;mnx:MNXR95186;rhea:23352;rhea:23353;rhea:23354;rhea:23355;sabiork:1785;seed:rxn01204
ABUTD	1 M_4abutn@c + 1 M_h2o@c + 1 M_nad@c --> 1 M_4abut@c + 2 M_h@c + 1 M_nadh@c	ABUTD		1.2.1.-;1.2.1.19;1.2.1.3		bigg:ABUTD;biocyc:META:AMINOBUTDEHYDROG-RXN;kegg:R02549;mnx:MNXR95191;rhea:19105;rhea:19106;rhea:19107;rhea:19108;sabiork:2464;seed:rxn01851
ABUTt2pp	1 M_4abut@p + 1 M_h@p --> 1 M_4abut@c + 1 M_h@c	ABUTt2pp				bigg:ABUTt2pp;biocyc:META:TRANS-RXN-57;mnx:MNXR94994;rhea:28915;rhea:28916;rhea:28917;rhea:28918;seed:rxn05564;seed:rxn08027
ABUTtex	1 M_4abut@e <==> 1 M_4abut@p	ABUTtex				bigg:ABUTtex;mnx:MNXR94993;reactome:R-ATH-888592;reactome:R-BTA-888592;reactome:R-CEL-888592;reactome:R-CFA-888592;reactome:R-DME-888592;reactome:R-DRE-888592;reactome:R-GGA-888592;reactome:R-HSA-888592;reactome:R-MMU-888592;reactome:R-OSA-888592;reactome:R-RNO-888592;reactome:R-SCE-888592;reactome:R-SSC-888592;reactome:R-TGU-888592;reactome:R-XTR-888592;rhea:35035;rhea:35036;rhea:35037;rhea:35038;sabiork:13098;seed:rxn08028;seed:rxn09795;seed:rxn11326
ACACCT	1 M_acac@c + 1 M_accoa@c --> 1 M_aacoa@c + 1 M_ac@c	ACACCT		2.8.3.8;2.8.3.9		bigg:ACACCT;biocyc:META:ACETOACETYL-COA-TRANSFER-RXN;kegg:R01359;mnx:MNXR95193;rhea:27806;rhea:27807;rhea:27808;rhea:27809;sabiork:1563;seed:rxn00990
