#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
mnxr01c11	SPONTANEOUS	-1000	1000	B
mnxr01c13	SPONTANEOUS	-1000	1000	B
mnxr01c15	SPONTANEOUS	-1000	1000	B
mnxr01c17	SPONTANEOUS	-1000	1000	B
mnxr01c2	SPONTANEOUS	-1000	1000	B
mnxr01c3	SPONTANEOUS	-1000	1000	B
mnxr01c4	SPONTANEOUS	-1000	1000	B
mnxr01c5	SPONTANEOUS	-1000	1000	B
mnxr01c6	SPONTANEOUS	-1000	1000	B
mnxr02c2b		-1000	1000	B
mnxr03c2c3		-1000	1000	B
mnxr03c3c11		-1000	1000	B
mnxr03c3c13		-1000	1000	B
mnxr03c3c15		-1000	1000	B
mnxr03c3c4	UCP1_HUMAN;UCP2_HUMAN;UCP3_HUMAN;UCP4_HUMAN;UCP5_HUMAN	0	1000	LR
mnxr03c3c6		-1000	1000	B
mnxr03c4c5	UCP1_HUMAN;UCP2_HUMAN;UCP3_HUMAN;UCP4_HUMAN;UCP5_HUMAN	-1000	0	RL
mnxr100000c15	CGAT1_HUMAN;CGAT2_HUMAN;CHSS1_HUMAN;CHSS2_HUMAN;CHSS3_HUMAN	0	1000	LR
mnxr100001c15	GALT1_HUMAN;GALT2_HUMAN;GALT3_HUMAN;GALT4_HUMAN;GALT5_HUMAN;GALT6_HUMAN;GALT7_HUMAN;GALT8_HUMAN;GALT9_HUMAN;GLT10_HUMAN;GLT11_HUMAN;GLT12_HUMAN;GLT13_HUMAN;GLT14_HUMAN;GLT15_HUMAN	0	1000	LR
mnxr100001c17	NAGAB_HUMAN	-1000	0	RL
mnxr100011c3c2	SC5A1_HUMAN	0	1000	LR
mnxr100019c2b		-1000	1000	B
mnxr100019c2c3		-1000	1000	B
mnxr100024c3	GLNA_HUMAN;LGSN_HUMAN	-1000	0	RL
mnxr100027c2c3	SC5A1_HUMAN	-1000	1000	B
mnxr100028c2c3	SC5A9_HUMAN	0	1000	LR
mnxr100029c2c3	SC5A1_HUMAN	0	1000	LR
mnxr100030c3	GLSL_HUMAN	0	1000	LR
mnxr100030c4	GLSK_HUMAN	0	1000	LR
mnxr100044c17	ASPG_HUMAN	-1000	0	RL
mnxr100045c17	ASPG_HUMAN	-1000	0	RL
mnxr100060c3	AL1A3_HUMAN;AL3A1_HUMAN;AL3A2_HUMAN;AL3B1_HUMAN;AL3B2_HUMAN;AL7A1_HUMAN;AL9A1_HUMAN	-1000	0	RL
mnxr100060c4	AL1B1_HUMAN;AL3A2_HUMAN;AL7A1_HUMAN;AL9A1_HUMAN;ALDH2_HUMAN	-1000	0	RL
mnxr100064c4	DLDH_HUMAN+GCSH_HUMAN+GCSP_HUMAN+GCST_HUMAN	-1000	0	RL
mnxr100065c4	DLDH_HUMAN+GCSH_HUMAN+GCSP_HUMAN+GCST_HUMAN	0	1000	LR
mnxr100066c4	DLDH_HUMAN+GCSH_HUMAN+GCSP_HUMAN+GCST_HUMAN	-1000	1000	B
mnxr100070c2c3	SO1A2_HUMAN;SO1B1_HUMAN;SO1B3_HUMAN	-1000	0	RL
mnxr100071c2c3	NTCP2_HUMAN;NTCP_HUMAN	0	1000	LR
mnxr100072c3c2	ABCBB_HUMAN;MRP3_HUMAN;MRP4_HUMAN;MRP8_HUMAN;OSTA_HUMAN;OSTB_HUMAN	-1000	0	RL
mnxr100073c2b		-1000	1000	B
mnxr100073c2c3		-1000	1000	B
mnxr100073c3c13		-1000	1000	B
mnxr100074c3	GSH0_HUMAN+GSH1_HUMAN	-1000	0	RL
mnxr100079c2b		-1000	1000	B
mnxr100079c2c3		-1000	1000	B
mnxr100079c3c15		-1000	1000	B
mnxr100086c4	DHE3_HUMAN;DHE4_HUMAN	-1000	1000	B
mnxr100089c3c15	FUCT1_HUMAN	-1000	1000	B
mnxr100097c3	GSHR_HUMAN	0	1000	LR
mnxr100097c4	GSHR_HUMAN	0	1000	LR
mnxr100098c3	GSHR_HUMAN	0	1000	LR
mnxr100098c4	GSHR_HUMAN	0	1000	LR
mnxr100117c17	GGH_HUMAN	-1000	0	RL
mnxr100117c2	GGH_HUMAN	-1000	0	RL
mnxr100118c17	GGH_HUMAN	-1000	0	RL
mnxr100118c2	GGH_HUMAN	-1000	0	RL
mnxr100119c17	GGH_HUMAN	-1000	0	RL
mnxr100119c2	GGH_HUMAN	-1000	0	RL
mnxr100120c17	GGH_HUMAN	-1000	0	RL
mnxr100120c2	GGH_HUMAN	-1000	0	RL
mnxr100121c17	GGH_HUMAN	-1000	0	RL
mnxr100121c2	GGH_HUMAN	-1000	0	RL
mnxr100122c17	GGH_HUMAN	0	1000	LR
mnxr100122c2	GGH_HUMAN	0	1000	LR
mnxr100123c17	GGH_HUMAN	0	1000	LR
mnxr100123c2	GGH_HUMAN	0	1000	LR
mnxr100124c17	GGH_HUMAN	-1000	0	RL
mnxr100124c2	GGH_HUMAN	-1000	0	RL
mnxr100125c17	GGH_HUMAN	-1000	0	RL
mnxr100125c2	GGH_HUMAN	-1000	0	RL
mnxr100134c11	GGT1_HUMAN;GGT2_HUMAN;GGT5_HUMAN;GGT6_HUMAN;GGT7_HUMAN;GGTL1_HUMAN;GGTL2_HUMAN	-1000	1000	B
mnxr100134c3	GGT1_HUMAN;GGT2_HUMAN;GGT5_HUMAN;GGT6_HUMAN;GGT7_HUMAN;GGTL2_HUMAN;GGTL3_HUMAN	-1000	0	RL
mnxr100136c2	GGT1_HUMAN;GGT2_HUMAN;GGT5_HUMAN;GGT6_HUMAN;GGT7_HUMAN;GGTL2_HUMAN;GGTL3_HUMAN	0	1000	LR
mnxr100136c3	GGT1_HUMAN;GGT2_HUMAN;GGT5_HUMAN;GGT6_HUMAN;GGT7_HUMAN;GGTL2_HUMAN;GGTL3_HUMAN	0	1000	LR
mnxr100143c3	GLYM_HUMAN	-1000	0	RL
mnxr100143c4	GLYM_HUMAN	-1000	0	RL
mnxr100149c3c11		-1000	1000	B
mnxr100149c3c4		-1000	1000	B
mnxr100154c3	GLGB_HUMAN	0	1000	LR
mnxr100156c17	BGLR_HUMAN;KLOT_HUMAN	-1000	0	RL
mnxr100158c17	BGLR_HUMAN;KLOT_HUMAN	-1000	0	RL
mnxr100159c17	BGLR_HUMAN;KLOT_HUMAN	-1000	0	RL
mnxr100160c17	BGLR_HUMAN;KLOT_HUMAN	0	1000	LR
