#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
mnxr01c11	1 MNXM01@MNXC11 <==> 1 MNXM1@MNXC11		MNXR01			
mnxr01c13	1 MNXM01@MNXC13 <==> 1 MNXM1@MNXC13		MNXR01			
mnxr01c15	1 MNXM01@MNXC15 <==> 1 MNXM1@MNXC15		MNXR01			
mnxr01c17	1 MNXM01@MNXC17 <==> 1 MNXM1@MNXC17		MNXR01			
mnxr01c2	1 MNXM01@MNXC2 <==> 1 MNXM1@MNXC2		MNXR01			
mnxr01c3	1 MNXM01@MNXC3 <==> 1 MNXM1@MNXC3		MNXR01			
mnxr01c4	1 MNXM01@MNXC4 <==> 1 MNXM1@MNXC4		MNXR01			
mnxr01c5	1 MNXM01@MNXC5 <==> 1 MNXM1@MNXC5		MNXR01			
mnxr01c6	1 MNXM01@MNXC6 <==> 1 MNXM1@MNXC6		MNXR01			
mnxr02c2b	1 MNXM1@MNXC2 <==> 1 MNXM1@BOUNDARY	MAR09079	MNXR02			mnx:MNXR02;MNXR02;bigg.reaction:EX_h_e;bigg.reaction:R_EX_h_e;biggR:EX_h_e;biggR:R_EX_h_e
mnxr03c2c3	1 MNXM01@MNXC2 <==> 1 MNXM01@MNXC3	MAR11318	MNXR03			mnx:MNXR03;MNXR03;bigg.reaction:HMR_1095;bigg.reaction:Ht;bigg.reaction:Htcx;bigg.reaction:Htex;bigg.reaction:Htg;bigg.reaction:Hth;bigg.reaction:Htl;bigg.reaction:Htm;bigg.reaction:Htm_cho;bigg.reaction:Htmi;bigg.reaction:Htr;bigg.reaction:Hts;bigg.reaction:Htu;bigg.reaction:Htx;bigg.reaction:PCXHtpp;bigg.reaction:R_HMR_1095;bigg.reaction:R_Ht;bigg.reaction:R_Htcx;bigg.reaction:R_Htex;bigg.reaction:R_Htg;bigg.reaction:R_Hth;bigg.reaction:R_Htl;bigg.reaction:R_Htm;bigg.reaction:R_Htm_cho;bigg.reaction:R_Htmi;bigg.reaction:R_Htr;bigg.reaction:R_Hts;bigg.reaction:R_Htu;bigg.reaction:R_Htx;bigg.reaction:R_PCXHtpp;biggR:HMR_1095;biggR:Ht;biggR:Htcx;biggR:Htex;biggR:Htg;biggR:Hth;biggR:Htl;biggR:Htm;biggR:Htm_cho;biggR:Htmi;biggR:Htr;biggR:Hts;biggR:Htu;biggR:Htx;biggR:PCXHtpp;biggR:R_HMR_1095;biggR:R_Ht;biggR:R_Htcx;biggR:R_Htex;biggR:R_Htg;biggR:R_Hth;biggR:R_Htl;biggR:R_Htm;biggR:R_Htm_cho;biggR:R_Htmi;biggR:R_Htr;biggR:R_Hts;biggR:R_Htu;biggR:R_Htx;biggR:R_PCXHtpp;metacyc.reaction:RXN-13519;metacyc.reaction:TRANS-RXN-218;metacyc.reaction:TRANS-RXN-395;metacycR:RXN-13519;metacycR:TRANS-RXN-218;metacycR:TRANS-RXN-395;rhea:34979;rhea:34980;rhea:34981;rhea:34982;rheaR:34979;rheaR:34980;rheaR:34981;rheaR:34982;sabiork.reaction:14473;sabiorkR:14473;seed.reaction:rxn08730;seed.reaction:rxn11009;seed.reaction:rxn13646;seed.reaction:rxn22797;seed.reaction:rxn26298;seed.reaction:rxn27372;seed.reaction:rxn28230;seed.reaction:rxn28701;seed.reaction:rxn29081;seed.reaction:rxn31161;seed.reaction:rxn31178;seed.reaction:rxn31202;seed.reaction:rxn34471;seedR:rxn08730;seedR:rxn11009;seedR:rxn13646;seedR:rxn22797;seedR:rxn26298;seedR:rxn27372;seedR:rxn28230;seedR:rxn28701;seedR:rxn29081;seedR:rxn31161;seedR:rxn31178;seedR:rxn31202;seedR:rxn34471
