#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
BIOMASS_EXT	1 BIOMASS@c --> 1 BIOMASS@BOUNDARY	BIOMASS_EXT				
MAR00001	1 MAM01570@e --> 1 MAM01569@e + 77243 MAM02956@e	MAR00001		3.1.1.23;3.1.1.34		reactomeR:R-HSA-174757;vmhreaction:HMR_0001
MAR00002	1 MAM02040@e + 1 MAM02956@e --> 1 MAM00234@e + 1 MAM01807@e	MAR00002		3.1.1.34		keggR:R02250;vmhreaction:HMR_0002
MAR00003	1 MAM00234@e + 1 MAM02040@e --> 1 MAM00503@e + 1 MAM01807@e	MAR00003		3.1.1.3		keggR:R02687;vmhreaction:HMR_0003
MAR00004	1 MAM00503@e --> 1 MAM00503@c	MAR00004				vmhreaction:HMR_0004
MAR00005	1 MAM00503@c + 1 MAM02040@c --> 1 MAM01983@c + 1 MAM01807@c	MAR00005		3.1.1.23		keggR:R01351;vmhreaction:HMR_0005
MAR00006	1 MAM03147@e --> 10385 MAM02959@e + 1 MAM03146@e	MAR00006		3.1.1.23;3.1.1.34		vmhreaction:HMR_0006
MAR00007	1 MAM02040@e + 1 MAM02959@e --> 1 MAM00241@e + 1 MAM01820@e	MAR00007		3.1.1.34		keggR:R02250;vmhreaction:HMR_0007
MAR00008	1 MAM00241@e + 1 MAM02040@e --> 1 MAM00510@e + 1 MAM01820@e	MAR00008		3.1.1.34		keggR:R02687;vmhreaction:HMR_0008
MAR00009	1 MAM00510@e --> 1 MAM00510@c	MAR00009				vmhreaction:HMR_0009
MAR00010	1 MAM00510@c + 1 MAM02040@c --> 1 MAM01983@c + 1 MAM01820@c	MAR00010		3.1.1.23		keggR:R01351;vmhreaction:HMR_0010
MAR00011	0.5 MAM01807@e + 0.5 MAM01820@e --> 1 MAM01819@e	MAR00011				vmhreaction:HMR_0011
MAR00012	1 MAM01819@e --> 0.0001 MAM00003@e + 0.0001 MAM00008@e + 0.0001 MAM00010@e + 0.0001 MAM00017@e + 0.0001 MAM00019@e + 0.0001 MAM00021@e + 0.0001 MAM00094@e + 0.0001 MAM00104@e + 0.0001 MAM00111@e + 0.0001 MAM00114@e + 0.0001 MAM00115@e + 0.0001 MAM00117@e + 0.0001 MAM00128@e + 0.0001 MAM00132@e + 0.0001 MAM00135@e + 0.0001 MAM00260@e + 0.0001 MAM00265@e + 0.0001 MAM00315@e + 0.0001 MAM00341@e + 0.0001 MAM01197@e + 0.0001 MAM01207@e + 0.0001 MAM01235@e + 0.0001 MAM01238@e + 0.0001 MAM01291@e + 0.0082 MAM01362@e + 0.0001 MAM01373@e + 0.0001 MAM01432@e + 0.0001 MAM01582@e + 0.0001 MAM01583@e + 0.0001 MAM01584@e + 0.0001 MAM01585@e + 0.0041 MAM01689@e + 0.002 MAM01696@e + 0.0001 MAM01741@e + 0.0001 MAM01771@e + 0.0001 MAM01778@e + 0.001 MAM01784@e + 0.0001 MAM01932@e + 0.0001 MAM02053@e + 0.0001 MAM02344@e + 0.0001 MAM02385@e + 0.1535 MAM02387@e + 0.0092 MAM02389@e + 0.0001 MAM02456@e + 0.0001 MAM02457@e + 0.0338 MAM02494@e + 0.0001 MAM02564@e + 0.0001 MAM02613@e + 0.3837 MAM02646@e + 0.0001 MAM02648@e + 0.3015 MAM02674@e + 0.0522 MAM02675@e + 0.0001 MAM02690@e + 0.0001 MAM02745@e + 0.046 MAM02938@e + 0.0001 MAM02939@e + 0.0001 MAM03045@e + 0.0001 MAM03051@e + 0.0001 MAM03153@e	MAR00012				vmhreaction:HMR_0012
MAR00013	1 MAM02048@e --> 20 MAM01450@e + 160 MAM01451@e + 1 MAM02047@e	MAR00013		3.1.1.34		vmhreaction:HMR_0013
MAR00014	1 MAM02353@e --> 680 MAM01450@e + 1515 MAM01451@e + 1 MAM02352@e	MAR00014		3.1.1.34		vmhreaction:HMR_0014
MAR00015	1 MAM02560@e --> 0.0048 MAM00003@e + 0.0016 MAM00008@e + 0.0016 MAM00010@e + 0.0001 MAM00017@e + 0.0001 MAM00019@e + 0.0001 MAM00021@e + 0.0001 MAM00094@e + 0.0001 MAM00104@e + 0.0001 MAM00111@e + 0.0001 MAM00114@e + 0.0001 MAM00115@e + 0.0001 MAM00117@e + 0.0001 MAM00128@e + 0.0001 MAM00132@e + 0.0001 MAM00135@e + 0.0001 MAM00260@e + 0.0001 MAM00265@e + 0.0001 MAM00315@e + 0.0001 MAM00341@e + 0.0001 MAM01197@e + 0.0001 MAM01207@e + 0.0001 MAM01235@e + 0.0001 MAM01238@e + 0.0017 MAM01291@e + 0.0137 MAM01362@e + 0.0007 MAM01373@e + 0.0005 MAM01432@e + 0.0001 MAM01582@e + 0.0002 MAM01583@e + 0.0001 MAM01584@e + 0.0001 MAM01585@e + 0.0046 MAM01689@e + 0.0025 MAM01696@e + 0.0019 MAM01741@e + 0.0011 MAM01771@e + 0.0001 MAM01778@e + 0.002 MAM01784@e + 0.0048 MAM01932@e + 0.0001 MAM02053@e + 0.0034 MAM02344@e + 0.0012 MAM02385@e + 0.071 MAM02387@e + 0.0005 MAM02389@e + 0.0056 MAM02456@e + 0.0005 MAM02457@e + 0.0283 MAM02494@e + 0.0003 MAM02564@e + 0.0001 MAM02613@e + 0.3746 MAM02646@e + 0.0001 MAM02648@e + 0.2949 MAM02674@e + 0.0686 MAM02675@e + 0.003 MAM02690@e + 0.0001 MAM02745@e + 0.1031 MAM02938@e + 0.0001 MAM02939@e + 0.0002 MAM03045@e + 0.0001 MAM03051@e + 0.0001 MAM03153@e	MAR00015				vmhreaction:HMR_0015
MAR00016	0.0001 MAM00003@e + 0.0023 MAM00008@e + 0.0003 MAM00010@e + 0.0002 MAM00017@e + 0.003 MAM00019@e + 0.0001 MAM00021@e + 0.0001 MAM00094@e + 0.0001 MAM00104@e + 0.0001 MAM00111@e + 0.0001 MAM00114@e + 0.0001 MAM00115@e + 0.0004 MAM00117@e + 0.0023 MAM00128@e + 0.0001 MAM00132@e + 0.0001 MAM00135@e + 0.0001 MAM00260@e + 0.0001 MAM00265@e + 0.0001 MAM00315@e + 0.0001 MAM00341@e + 0.0045 MAM01197@e + 0.0002 MAM01207@e + 0.001 MAM01235@e + 0.0037 MAM01238@e + 0.0008 MAM01291@e + 0.0051 MAM01362@e + 0.0002 MAM01373@e + 0.0001 MAM01432@e + 0.0001 MAM01582@e + 0.0002 MAM01583@e + 0.0046 MAM01584@e + 0.0204 MAM01585@e + 0.0012 MAM01689@e + 0.0021 MAM01696@e + 0.0009 MAM01741@e + 0.0009 MAM01771@e + 0.0001 MAM01778@e + 0.0009 MAM01784@e + 0.0005 MAM01932@e + 0.0001 MAM02053@e + 0.0061 MAM02344@e + 0.0001 MAM02385@e + 0.1573 MAM02387@e + 0.0073 MAM02389@e + 0.0001 MAM02456@e + 0.0001 MAM02457@e + 0.035 MAM02494@e + 0.0001 MAM02564@e + 0.0001 MAM02613@e + 0.383 MAM02646@e + 0.0004 MAM02648@e + 0.2478 MAM02674@e + 0.0395 MAM02675@e + 0.0039 MAM02690@e + 0.0001 MAM02745@e + 0.0613 MAM02938@e + 0.0001 MAM02939@e + 0.0001 MAM03045@e + 0.0001 MAM03051@e + 0.0001 MAM03153@e --> 1 MAM02561@e	MAR00016				vmhreaction:HMR_0016
MAR00017	1 MAM02909@e --> 0.125 MAM01410@e + 0.125 MAM01648@e + 0.125 MAM02108@e + 0.125 MAM02120@e + 0.125 MAM02614@e + 0.125 MAM02642@e + 0.125 MAM03117@e + 0.125 MAM03134@e	MAR00017				vmhreaction:HMR_0017
MAR00018	1 MAM01450@c <==> 1 MAM01450@e	MAR00018				mnx:MNXR96700;reactomeR:R-HSA-265443;rheaR:39747;rheaR:39750;vmhreaction:CHOLESTTDe;vmhreaction:r1050
MAR00019	1 MAM01451@e --> 1 MAM01451@l	MAR00019				vmhreaction:HMR_0019
MAR00020	1 MAM01451@c <==> 1 MAM01451@r	MAR00020				vmhreaction:HMR_0020
MAR00021	1 MAM01307@c + 1 MAM01365@c + 1 MAM01369@c + 1 MAM01370@c + 1 MAM01450@c + 1 MAM01451@r + 1 MAM01589@c + 1 MAM01628@c + 1 MAM01721@n + 1 MAM01722@n + 1 MAM01974@c + 1 MAM01975@c + 1 MAM01986@c + 1 MAM02125@c + 1 MAM02184@c + 1 MAM02360@c + 1 MAM02392@c + 1 MAM02426@c + 1 MAM02471@c + 1 MAM02724@c + 1 MAM02733@c + 1 MAM02750@c + 1 MAM02770@c + 1 MAM02847@c + 1 MAM02896@c + 1 MAM02908@c + 1 MAM02993@c + 1 MAM03089@c + 1 MAM03101@c + 1 MAM03135@c + 1 MAM03161@c + 1 MAM01602@c --> 1 MAM03970@c + 1 BIOMASS@c	MAR00021				vmhreaction:biomass_components
