#MetaNetX/TSV/peptides.tsv 1.1
#ID	description	xrefs	gene_names
b0002	thrA	asap:ABE-0000008;ecogene:EG10998;ncbigene:945803;ncbigi:16127996;refseq_locus_tag:b0002;refseq_name:thrA;refseq_synonym:ECK0002;refseq_synonym:Hs;refseq_synonym:JW0001;refseq_synonym:thrA1;refseq_synonym:thrA2;refseq_synonym:thrD;uniprot:P00561	b0002
b0003	thrB	asap:ABE-0000010;ecogene:EG10999;ncbigene:947498;ncbigi:16127997;refseq_locus_tag:b0003;refseq_name:thrB;refseq_synonym:ECK0003;refseq_synonym:JW0002;uniprot:P00547	b0003
b0004	thrC	asap:ABE-0000012;ecogene:EG11000;ncbigene:945198;ncbigi:16127998;refseq_locus_tag:b0004;refseq_name:thrC;refseq_synonym:ECK0004;refseq_synonym:JW0003;uniprot:P00934	b0004
b0007	yaaJ	asap:ABE-0000020;ecogene:EG11555;ncbigene:944745;ncbigi:16128001;refseq_locus_tag:b0007;refseq_name:yaaJ;refseq_synonym:ECK0007;refseq_synonym:JW0006;uniprot:P30143	b0007
b0008	talB	asap:ABE-0000027;ecogene:EG11556;ncbigene:944748;ncbigi:16128002;refseq_locus_tag:b0008;refseq_name:talB;refseq_synonym:ECK0008;refseq_synonym:JW0007;refseq_synonym:yaaK;uniprot:P0A870	b0008
b0009	mog	asap:ABE-0000030;ecogene:EG11511;ncbigene:944760;ncbigi:16128003;refseq_locus_tag:b0009;refseq_name:mog;refseq_synonym:ECK0009;refseq_synonym:JW0008;refseq_synonym:bisD;refseq_synonym:chlG;refseq_synonym:mogA;refseq_synonym:yaaG;uniprot:P0AF03	b0009
b0010	satP	asap:ABE-0000032;ecogene:EG11512;ncbigene:944792;ncbigi:16128004;refseq_locus_tag:b0010;refseq_name:satP;refseq_synonym:ECK0010;refseq_synonym:JW0009;refseq_synonym:yaaH;uniprot:P0AC98	b0010
b0019	nhaA	asap:ABE-0000068;ecogene:EG10652;ncbigene:944758;ncbigi:16128013;refseq_locus_tag:b0019;refseq_name:nhaA;refseq_synonym:ECK0020;refseq_synonym:JW0018;refseq_synonym:ant;refseq_synonym:antA;uniprot:P13738	b0019
b0025	ribF	asap:ABE-0000091;ecogene:EG11079;ncbigene:949129;ncbigi:16128019;refseq_locus_tag:b0025;refseq_name:ribF;refseq_synonym:ECK0026;refseq_synonym:JW0023;refseq_synonym:yaaC;uniprot:P0AG40	b0025
b0029	ispH	asap:ABE-0000103;ecogene:EG11081;ncbigene:944777;ncbigi:16128023;refseq_locus_tag:b0029;refseq_name:ispH;refseq_synonym:ECK0030;refseq_synonym:JW0027;refseq_synonym:lytB;refseq_synonym:yaaE;uniprot:P62623	b0029
