#MetaNetX/TSV/peptides.tsv 1.1
#ID	description	xrefs	gene_names
b0008	talB	asap:ABE-0000027;ecogene:EG11556;ncbigene:944748;ncbigi:16128002;refseq_locus_tag:b0008;refseq_name:talB;refseq_synonym:ECK0008;refseq_synonym:JW0007;refseq_synonym:yaaK;uniprot:P0A870	b0008
b0114	aceE	asap:ABE-0000397;ecogene:EG10024;ncbigene:944834;ncbigi:16128107;refseq_locus_tag:b0114;refseq_name:aceE;refseq_synonym:ECK0113;refseq_synonym:JW0110;uniprot:P0AFG8	b0114
b0115	aceF	asap:ABE-0000400;ecogene:EG10025;ncbigene:944794;ncbigi:16128108;refseq_locus_tag:b0115;refseq_name:aceF;refseq_synonym:ECK0114;refseq_synonym:JW0111;uniprot:P06959	b0115
b0116	lpd	asap:ABE-0000404;ecogene:EG10543;ncbigene:944854;ncbigi:16128109;refseq_locus_tag:b0116;refseq_name:lpd;refseq_synonym:ECK0115;refseq_synonym:JW0112;refseq_synonym:dhl;refseq_synonym:lpdA;uniprot:P0A9P0	b0116
b0118	acnB	asap:ABE-0000411;ecogene:EG12316;ncbigene:944864;ncbigi:16128111;refseq_locus_tag:b0118;refseq_name:acnB;refseq_synonym:ECK0117;refseq_synonym:JW0114;refseq_synonym:yacI;refseq_synonym:yacJ;uniprot:P36683	b0118
b0351	mhpF	asap:ABE-0001207;ecogene:EG13625;ncbigene:945008;ncbigi:16128336;refseq_locus_tag:b0351;refseq_name:mhpF;refseq_synonym:ECK0348;refseq_synonym:JW0342;uniprot:P77580	b0351
b0356	frmA	asap:ABE-0001221;ecogene:EG50010;ncbigene:944988;ncbigi:16128341;refseq_locus_tag:b0356;refseq_name:frmA;refseq_synonym:ECK0353;refseq_synonym:JW0347;refseq_synonym:adhC;uniprot:P25437	b0356
b0451	amtB	asap:ABE-0001564;ecogene:EG11821;ncbigene:945084;ncbigi:16128436;refseq_locus_tag:b0451;refseq_name:amtB;refseq_synonym:ECK0445;refseq_synonym:JW0441;refseq_synonym:ybaG;uniprot:P69681	b0451
b0474	adk	asap:ABE-0001645;ecogene:EG10032;ncbigene:945097;ncbigi:16128458;refseq_locus_tag:b0474;refseq_name:adk;refseq_synonym:ECK0468;refseq_synonym:JW0463;refseq_synonym:dnaW;refseq_synonym:plsA;uniprot:P69441	b0474
b0485	glsA	asap:ABE-0001688;ecogene:EG13247;ncbigene:946187;ncbigi:16128469;refseq_locus_tag:b0485;refseq_name:glsA;refseq_synonym:ECK0479;refseq_synonym:JW0474;refseq_synonym:glsA1;refseq_synonym:ybaS;uniprot:P77454	b0485
b0720	gltA	asap:ABE-0002451;ecogene:EG10402;ncbigene:945323;ncbigi:16128695;refseq_locus_tag:b0720;refseq_name:gltA;refseq_synonym:ECK0709;refseq_synonym:JW0710;refseq_synonym:gluT;refseq_synonym:icdB;uniprot:P0ABH7	b0720
b0721	sdhC	asap:ABE-0002460;ecogene:EG10933;ncbigene:945316;ncbigi:16128696;refseq_locus_tag:b0721;refseq_name:sdhC;refseq_synonym:ECK0710;refseq_synonym:JW0711;refseq_synonym:cybA;uniprot:P69054	b0721
