#MetaNetX/TSV/peptides.tsv 1.1
#ID	description	xrefs	gene_names
ENSG00000000419		ensembl:ENSG00000000419;ensembl:ENSP00000360638;ensembl:ENSP00000360640;ensembl:ENSP00000360644;ensembl:ENSP00000394921;ensembl:ENSP00000506986;ensembl:ENSP00000507119;ensembl:ENSP00000507404;ensembl:ENST00000371582;ensembl:ENST00000371584;ensembl:ENST00000371588;ensembl:ENST00000413082;ensembl:ENST00000466152;ensembl:ENST00000494752;ensembl:ENST00000681979;ensembl:ENST00000682366;ensembl:ENST00000682713;ensembl:ENST00000682754;ensembl:ENST00000683010;ensembl:ENST00000683048;ensembl:ENST00000683466;ensembl:ENST00000684193;ensembl:ENST00000684628;ensembl:ENST00000684708;hgnc.symbol:DPM1;ncbigene:8813;uniprot:O60762	ENSG00000000419
ENSG00000001036		ensembl:ENSG00000001036;ensembl:ENSP00000002165;ensembl:ENSP00000398119;ensembl:ENST00000002165;ensembl:ENST00000367585;ensembl:ENST00000451668;hgnc.symbol:FUCA2;ncbigene:2519;uniprot:Q9BTY2	ENSG00000001036
ENSG00000001084		ensembl:ENSG00000001084;ensembl:ENSP00000421228;ensembl:ENSP00000421908;ensembl:ENSP00000424211;ensembl:ENSP00000427403;ensembl:ENSP00000482756;ensembl:ENSP00000495056;ensembl:ENSP00000495686;ensembl:ENSP00000497574;ensembl:ENST00000504353;ensembl:ENST00000504525;ensembl:ENST00000505197;ensembl:ENST00000505294;ensembl:ENST00000509541;ensembl:ENST00000510837;ensembl:ENST00000513939;ensembl:ENST00000514004;ensembl:ENST00000514373;ensembl:ENST00000514933;ensembl:ENST00000515580;ensembl:ENST00000616923;ensembl:ENST00000643939;ensembl:ENST00000650454;hgnc.symbol:GCLC;ncbigene:2729;uniprot:P48506	ENSG00000001084
ENSG00000001630		ensembl:ENSG00000001630;ensembl:ENSP00000003100;ensembl:ENSP00000394268;ensembl:ENSP00000406757;ensembl:ENST00000003100;ensembl:ENST00000422867;ensembl:ENST00000450723;ensembl:ENST00000482924;hgnc.symbol:CYP51A1;ncbigene:1595;uniprot:Q16850	ENSG00000001630
ENSG00000002549		ensembl:ENSG00000002549;ensembl:ENSP00000226299;ensembl:ENSP00000423350;ensembl:ENSP00000424724;ensembl:ENSP00000476028;ensembl:ENSP00000481000;ensembl:ENST00000226299;ensembl:ENST00000503467;ensembl:ENST00000504614;ensembl:ENST00000507960;ensembl:ENST00000508014;ensembl:ENST00000508497;ensembl:ENST00000509583;ensembl:ENST00000512397;ensembl:ENST00000513105;ensembl:ENST00000606142;ensembl:ENST00000618908;hgnc.symbol:LAP3;ncbigene:51056;uniprot:P28838	ENSG00000002549
ENSG00000002587		ensembl:ENSG00000002587;ensembl:ENSP00000002596;ensembl:ENSP00000422629;ensembl:ENSP00000425673;ensembl:ENST00000002596;ensembl:ENST00000510712;ensembl:ENST00000514690;hgnc.symbol:HS3ST1;ncbigene:9957;uniprot:O14792	ENSG00000002587
ENSG00000002726		ensembl:ENSG00000002726;ensembl:ENSP00000354193;ensembl:ENSP00000411613;ensembl:ENSP00000417392;ensembl:ENSP00000418328;ensembl:ENSP00000418557;ensembl:ENSP00000418614;ensembl:ENST00000360937;ensembl:ENST00000416793;ensembl:ENST00000460213;ensembl:ENST00000467291;ensembl:ENST00000480582;ensembl:ENST00000483043;ensembl:ENST00000493429;hgnc.symbol:AOC1;ncbigene:26;uniprot:P19801	ENSG00000002726
ENSG00000002746		ensembl:ENSG00000002746;ensembl:ENSP00000379228;ensembl:ENSP00000407774;ensembl:ENSP00000413336;ensembl:ENST00000395891;ensembl:ENST00000429529;ensembl:ENST00000453890;ensembl:ENST00000461842;ensembl:ENST00000464944;ensembl:ENST00000471043;ensembl:ENST00000471527;ensembl:ENST00000481031;ensembl:ENST00000490954;ensembl:ENST00000492310;ensembl:ENST00000493057;hgnc.symbol:HECW1;ncbigene:23072;uniprot:Q76N89	ENSG00000002746
ENSG00000003137		ensembl:ENSG00000003137;ensembl:ENSP00000001146;ensembl:ENSP00000401465;ensembl:ENSP00000430871;ensembl:ENSP00000430888;ensembl:ENSP00000443304;ensembl:ENST00000001146;ensembl:ENST00000412253;ensembl:ENST00000461519;ensembl:ENST00000474509;ensembl:ENST00000546307;hgnc.symbol:CYP26B1;ncbigene:56603;uniprot:Q9NR63	ENSG00000003137
ENSG00000003987		ensembl:ENSG00000003987;ensembl:ENSP00000180173;ensembl:ENSP00000429733;ensembl:ENSP00000431000;ensembl:ENST00000180173;ensembl:ENST00000517317;ensembl:ENST00000518272;ensembl:ENST00000519122;ensembl:ENST00000519590;ensembl:ENST00000519763;ensembl:ENST00000521177;ensembl:ENST00000521857;ensembl:ENST00000523571;hgnc.symbol:MTMR7;ncbigene:9108;uniprot:Q9Y216	ENSG00000003987
ENSG00000003989		ensembl:ENSG00000003989;ensembl:ENSP00000004531;ensembl:ENSP00000381164;ensembl:ENSP00000419140;ensembl:ENSP00000419873;ensembl:ENSP00000430464;ensembl:ENSP00000492016;ensembl:ENST00000004531;ensembl:ENST00000398090;ensembl:ENST00000470360;ensembl:ENST00000494857;ensembl:ENST00000522656;ensembl:ENST00000640220;hgnc.symbol:SLC7A2;ncbigene:6542;uniprot:P52569	ENSG00000003989
ENSG00000004455		ensembl:ENSG00000004455;ensembl:ENSP00000346921;ensembl:ENSP00000362548;ensembl:ENSP00000446849;ensembl:ENSP00000447082;ensembl:ENSP00000449003;ensembl:ENSP00000450008;ensembl:ENSP00000450109;ensembl:ENSP00000486342;ensembl:ENSP00000486507;ensembl:ENSP00000499935;ensembl:ENSP00000500549;ensembl:ENST00000354858;ensembl:ENST00000373449;ensembl:ENST00000466029;ensembl:ENST00000467905;ensembl:ENST00000469238;ensembl:ENST00000480134;ensembl:ENST00000482191;ensembl:ENST00000487289;ensembl:ENST00000491241;ensembl:ENST00000548033;ensembl:ENST00000548559;ensembl:ENST00000550338;ensembl:ENST00000551979;ensembl:ENST00000626911;ensembl:ENST00000629371;ensembl:ENST00000672308;ensembl:ENST00000672715;ensembl:ENST00000673291;hgnc.symbol:AK2;ncbigene:204;uniprot:P54819	ENSG00000004455
ENSG00000004468		ensembl:ENSG00000004468;ensembl:ENSP00000226279;ensembl:ENSP00000423047;ensembl:ENSP00000427277;ensembl:ENST00000226279;ensembl:ENST00000502843;ensembl:ENST00000506191;ensembl:ENST00000510674;ensembl:ENST00000511430;hgnc.symbol:CD38;ncbigene:952;uniprot:P28907	ENSG00000004468
ENSG00000004478		ensembl:ENSG00000004478;ensembl:ENSP00000001008;ensembl:ENSP00000438491;ensembl:ENSP00000439703;ensembl:ENSP00000442193;ensembl:ENSP00000446368;ensembl:ENSP00000486800;ensembl:ENST00000001008;ensembl:ENST00000538622;ensembl:ENST00000539181;ensembl:ENST00000540260;ensembl:ENST00000543037;ensembl:ENST00000543769;ensembl:ENST00000544366;ensembl:ENST00000630279;hgnc.symbol:FKBP4;ncbigene:2288;uniprot:Q02790	ENSG00000004478
ENSG00000004779		ensembl:ENSG00000004779;ensembl:ENSP00000007516;ensembl:ENSP00000454812;ensembl:ENSP00000454891;ensembl:ENSP00000458770;ensembl:ENSP00000461693;ensembl:ENST00000007516;ensembl:ENST00000484769;ensembl:ENST00000562133;ensembl:ENST00000567761;ensembl:ENST00000570319;hgnc.symbol:NDUFAB1;ncbigene:4706;uniprot:O14561	ENSG00000004779
ENSG00000004799		ensembl:ENSG00000004799;ensembl:ENSP00000005178;ensembl:ENST00000005178;ensembl:ENST00000468445;ensembl:ENST00000473301;ensembl:ENST00000473796;ensembl:ENST00000498190;hgnc.symbol:PDK4;ncbigene:5166;uniprot:Q16654	ENSG00000004799
ENSG00000004809		ensembl:ENSG00000004809;ensembl:ENSP00000328583;ensembl:ENSP00000357915;ensembl:ENSP00000395642;ensembl:ENSP00000401007;ensembl:ENSP00000409306;ensembl:ENSP00000416310;ensembl:ENST00000330550;ensembl:ENST00000368919;ensembl:ENST00000424139;ensembl:ENST00000434949;ensembl:ENST00000437378;ensembl:ENST00000451557;ensembl:ENST00000460159;ensembl:ENST00000461487;hgnc.symbol:SLC22A16;ncbigene:85413;uniprot:Q86VW1	ENSG00000004809
ENSG00000004864		ensembl:ENSG00000004864;ensembl:ENSP00000265631;ensembl:ENSP00000400101;ensembl:ENSP00000473505;ensembl:ENST00000265631;ensembl:ENST00000416240;ensembl:ENST00000472162;ensembl:ENST00000484495;ensembl:ENST00000487710;ensembl:ENST00000490072;ensembl:ENST00000492869;ensembl:ENST00000494085;hgnc.symbol:SLC25A13;ncbigene:10165;uniprot:Q9UJS0	ENSG00000004864
ENSG00000004939		ensembl:ENSG00000004939;ensembl:ENSP00000262418;ensembl:ENSP00000382190;ensembl:ENST00000262418;ensembl:ENST00000399246;ensembl:ENST00000471005;ensembl:ENST00000498270;hgnc.symbol:SLC4A1;ncbigene:6521;uniprot:P02730	ENSG00000004939
ENSG00000004961		ensembl:ENSG00000004961;ensembl:ENSP00000326579;ensembl:ENSP00000370139;ensembl:ENSP00000370140;ensembl:ENST00000321143;ensembl:ENST00000380762;ensembl:ENST00000380763;hgnc.symbol:HCCS;ncbigene:3052;uniprot:P53701	ENSG00000004961
ENSG00000005022		ensembl:ENSG00000005022;ensembl:ENSP00000360671;ensembl:ENST00000317881;ensembl:ENST00000460013;ensembl:ENST00000463551;ensembl:ENST00000475354;hgnc.symbol:SLC25A5;ncbigene:292;uniprot:P05141	ENSG00000005022
ENSG00000005075		ensembl:ENSG00000005075;ensembl:ENSP00000292614;ensembl:ENSP00000377383;ensembl:ENST00000292614;ensembl:ENST00000393794;hgnc.symbol:POLR2J;ncbigene:5439;uniprot:P52435	ENSG00000005075
ENSG00000005187		ensembl:ENSG00000005187;ensembl:ENSP00000289416;ensembl:ENSP00000394565;ensembl:ENSP00000456055;ensembl:ENSP00000456767;ensembl:ENSP00000457003;ensembl:ENSP00000457158;ensembl:ENSP00000457608;ensembl:ENSP00000457926;ensembl:ENSP00000458068;ensembl:ENST00000289416;ensembl:ENST00000440284;ensembl:ENST00000501740;ensembl:ENST00000561499;ensembl:ENST00000561584;ensembl:ENST00000561795;ensembl:ENST00000562251;ensembl:ENST00000563914;ensembl:ENST00000564701;ensembl:ENST00000567006;ensembl:ENST00000567387;ensembl:ENST00000567711;ensembl:ENST00000568235;ensembl:ENST00000569141;ensembl:ENST00000614721;hgnc.symbol:ACSM3;ncbigene:6296;uniprot:Q53FZ2	ENSG00000005187
ENSG00000005339		ensembl:ENSG00000005339;ensembl:ENSP00000262367;ensembl:ENSP00000371502;ensembl:ENSP00000458254;ensembl:ENSP00000459490;ensembl:ENSP00000460474;ensembl:ENSP00000461002;ensembl:ENSP00000490244;ensembl:ENST00000262367;ensembl:ENST00000382070;ensembl:ENST00000570939;ensembl:ENST00000571763;ensembl:ENST00000571826;ensembl:ENST00000572134;ensembl:ENST00000572569;ensembl:ENST00000573517;ensembl:ENST00000573672;ensembl:ENST00000574740;ensembl:ENST00000575237;ensembl:ENST00000576720;ensembl:ENST00000634839;ensembl:ENST00000635753;ensembl:ENST00000635899;ensembl:ENST00000635919;ensembl:ENST00000636002;ensembl:ENST00000636895;ensembl:ENST00000637492;ensembl:ENST00000638158;hgnc.symbol:CREBBP;ncbigene:1387;uniprot:Q92793	ENSG00000005339
ENSG00000005381		ensembl:ENSG00000005381;ensembl:ENSP00000225275;ensembl:ENSP00000464668;ensembl:ENST00000225275;ensembl:ENST00000577220;ensembl:ENST00000578493;ensembl:ENST00000580005;ensembl:ENST00000581022;hgnc.symbol:MPO;ncbigene:4353;uniprot:P05164	ENSG00000005381
ENSG00000005421		ensembl:ENSG00000005421;ensembl:ENSP00000222381;ensembl:ENSP00000407359;ensembl:ENST00000222381;ensembl:ENST00000433729;ensembl:ENST00000462594;ensembl:ENST00000470502;hgnc.symbol:PON1;ncbigene:5444;uniprot:P27169	ENSG00000005421
ENSG00000005469		ensembl:ENSG00000005469;ensembl:ENSP00000331981;ensembl:ENSP00000404867;ensembl:ENSP00000411983;ensembl:ENSP00000413575;ensembl:ENST00000331536;ensembl:ENST00000412227;ensembl:ENST00000419147;ensembl:ENST00000442291;ensembl:ENST00000469785;ensembl:ENST00000479014;ensembl:ENST00000488850;hgnc.symbol:CROT;ncbigene:54677;uniprot:Q9UKG9	ENSG00000005469
ENSG00000005471		ensembl:ENSG00000005471;ensembl:ENSP00000265723;ensembl:ENSP00000352135;ensembl:ENSP00000392983;ensembl:ENSP00000394511;ensembl:ENSP00000395716;ensembl:ENSP00000493477;ensembl:ENSP00000496629;ensembl:ENSP00000496956;ensembl:ENST00000265723;ensembl:ENST00000359206;ensembl:ENST00000417608;ensembl:ENST00000440025;ensembl:ENST00000453593;ensembl:ENST00000467079;ensembl:ENST00000467983;ensembl:ENST00000469770;ensembl:ENST00000473795;ensembl:ENST00000643670;ensembl:ENST00000644106;ensembl:ENST00000649586;hgnc.symbol:ABCB4;ncbigene:5244;uniprot:P21439	ENSG00000005471
ENSG00000005483		ensembl:ENSG00000005483;ensembl:ENSP00000257745;ensembl:ENSP00000312379;ensembl:ENSP00000335398;ensembl:ENSP00000417156;ensembl:ENSP00000417193;ensembl:ENSP00000417888;ensembl:ENSP00000419525;ensembl:ENSP00000419883;ensembl:ENSP00000420206;ensembl:ENSP00000420415;ensembl:ENSP00000473963;ensembl:ENSP00000482147;ensembl:ENSP00000499735;ensembl:ENST00000257745;ensembl:ENST00000311117;ensembl:ENST00000334884;ensembl:ENST00000468607;ensembl:ENST00000473063;ensembl:ENST00000474203;ensembl:ENST00000476671;ensembl:ENST00000478079;ensembl:ENST00000478990;ensembl:ENST00000479838;ensembl:ENST00000480368;ensembl:ENST00000482560;ensembl:ENST00000485619;ensembl:ENST00000495267;ensembl:ENST00000496191;ensembl:ENST00000622386;ensembl:ENST00000667857;hgnc.symbol:KMT2E;ncbigene:55904;uniprot:Q8IZD2	ENSG00000005483
ENSG00000005810		ensembl:ENSG00000005810;ensembl:ENSP00000349892;ensembl:ENSP00000413907;ensembl:ENSP00000444596;ensembl:ENSP00000507196;ensembl:ENSP00000507330;ensembl:ENSP00000508023;ensembl:ENSP00000508153;ensembl:ENST00000357337;ensembl:ENST00000429715;ensembl:ENST00000466564;ensembl:ENST00000474882;ensembl:ENST00000485061;ensembl:ENST00000486679;ensembl:ENST00000491491;ensembl:ENST00000544440;ensembl:ENST00000682321;ensembl:ENST00000683697;ensembl:ENST00000683823;ensembl:ENST00000684354;hgnc.symbol:MYCBP2;ncbigene:23077;uniprot:O75592	ENSG00000005810
ENSG00000005882		ensembl:ENSG00000005882;ensembl:ENSP00000007708;ensembl:ENSP00000420927;ensembl:ENSP00000421178;ensembl:ENSP00000423310;ensembl:ENSP00000425265;ensembl:ENSP00000425615;ensembl:ENSP00000427682;ensembl:ENSP00000481915;ensembl:ENST00000007708;ensembl:ENST00000503076;ensembl:ENST00000503176;ensembl:ENST00000503614;ensembl:ENST00000505440;ensembl:ENST00000505897;ensembl:ENST00000506242;ensembl:ENST00000506647;ensembl:ENST00000508030;ensembl:ENST00000508960;ensembl:ENST00000510219;ensembl:ENST00000511026;ensembl:ENST00000512204;ensembl:ENST00000512238;ensembl:ENST00000515040;ensembl:ENST00000614357;hgnc.symbol:PDK2;ncbigene:5164;uniprot:Q15119	ENSG00000005882
ENSG00000006007		ensembl:ENSG00000006007;ensembl:ENSP00000261386;ensembl:ENSP00000454755;ensembl:ENSP00000456295;ensembl:ENSP00000457431;ensembl:ENST00000353258;ensembl:ENST00000563645;ensembl:ENST00000564172;ensembl:ENST00000569773;ensembl:ENST00000569899;hgnc.symbol:GDE1;ncbigene:51573;uniprot:Q9NZC3	ENSG00000006007
