#MetaNetX/TSV/peptides.tsv 1.1
#ID	description	xrefs	gene_names
6PGD_ECOLI	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	uniprotkb:P00350	gnd;b2029;JW2011
6PGL_ECOLI	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	uniprotkb:P52697	pgl;ybhE;b0767;JW0750
ACDH_ECOLI	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	uniprotkb:P77580	mhpF;mhpE;b0351;JW0342
ACEA_ECOLI	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	uniprotkb:P0A9G6	aceA;icl;b4015;JW3975
ACKA_ECOLI	Acetate kinase (EC 2.7.2.1) (Acetokinase)	uniprotkb:P0A6A3	ackA;ack;b2296;JW2293
ACNA_ECOLI	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	uniprotkb:P25516	acnA;acn;b1276;JW1268
ACNB_ECOLI	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	uniprotkb:P36683	acnB;yacI;yacJ;b0118;JW0114
ADHE_ECOLI	Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase (ADH) (EC 1.1.1.1); Acetaldehyde dehydrogenase [acetylating] (ACDH) (EC 1.2.1.10); Pyruvate-formate-lyase deactivase (PFL deactivase)]	uniprotkb:P0A9Q7	adhE;ana;b1241;JW1228
ADHP_ECOLI	Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1)	uniprotkb:P39451	adhP;yddN;b1478;JW1474
ALF1_ECOLI	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	uniprotkb:P0A991	fbaB;dhnA;b2097;JW5344
ALF_ECOLI	Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)	uniprotkb:P0AB71	fbaA;fba;fda;b2925;JW2892
AMTB_ECOLI	Ammonium transporter AmtB (Ammonia channel AmtB) (Ammonium channel AmtB)	uniprotkb:P69681	amtB;ybaG;b0451;JW0441
APPB_ECOLI	Cytochrome bd-II ubiquinol oxidase subunit 2 (EC 7.1.1.3) (Cytochrome bd-II oxidase subunit II)	uniprotkb:P26458	appB;cbdB;cyxB;b0979;JW0961
APPC_ECOLI	Cytochrome bd-II ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome bd-II oxidase subunit I)	uniprotkb:P26459	appC;cbdA;cyxA;b0978;JW0960
AQPZ_ECOLI	Aquaporin Z (Bacterial nodulin-like intrinsic protein)	uniprotkb:P60844	aqpZ;bniP;b0875;JW0859
ATP6_ECOLI	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	uniprotkb:P0AB98	atpB;papD;uncB;b3738;JW3716
