#MetaNetX/TSV/peptides.tsv 1.1
#ID	description	xrefs	gene_names
3BHS1_HUMAN	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I) (3-beta-HSD I) (3-beta-hydroxy-5-ene steroid dehydrogenase) (3-beta-hydroxy-Delta(5)-steroid dehydrogenase) (EC 1.1.1.145) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Delta-5-3-ketosteroid isomerase) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Steroid Delta-isomerase) (EC 5.3.3.1) (Trophoblast antigen FDO161G)	uniprotkb:P14060	HSD3B1;3BH;HSDB3A
3BHS2_HUMAN	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II) (3-beta-HSD II) (3-beta-HSD adrenal and gonadal type) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)]	uniprotkb:P26439	HSD3B2;HSDB3B
3BHS7_HUMAN	3 beta-hydroxysteroid dehydrogenase type 7 (3 beta-hydroxysteroid dehydrogenase type VII) (3-beta-HSD VII) (3-beta-hydroxy-Delta(5)-C27 steroid oxidoreductase) (C(27) 3-beta-HSD) (EC 1.1.1.-) (Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase) (EC 1.1.1.181)	uniprotkb:Q9H2F3	HSD3B7
3BP1_HUMAN	SH3 domain-binding protein 1	uniprotkb:Q9Y3L3	SH3BP1
3HAO_HUMAN	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (h3HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)	uniprotkb:P46952	HAAO
3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	uniprotkb:P31937	HIBADH
4EBP3_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 3 (4E-BP3) (eIF4E-binding protein 3)	uniprotkb:O60516	EIF4EBP3
4F2_HUMAN	4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	uniprotkb:P08195	SLC3A2;MDU1
5NT1A_HUMAN	Cytosolic 5'-nucleotidase 1A (cN1A) (EC 3.1.3.5) (Cytosolic 5'-nucleotidase IA) (cN-I) (cN-IA)	uniprotkb:Q9BXI3	NT5C1A
5NT1B_HUMAN	Cytosolic 5'-nucleotidase 1B (cN1B) (EC 3.1.3.5) (Autoimmune infertility-related protein) (Cytosolic 5'-nucleotidase IB) (cN-IB)	uniprotkb:Q96P26	NT5C1B;AIRP;FKSG85
5NT3A_HUMAN	Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36)	uniprotkb:Q9H0P0	NT5C3A;NT5C3;P5N1;UMPH1;HSPC233
5NT3B_HUMAN	7-methylguanosine phosphate-specific 5'-nucleotidase (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3B) (Cytosolic 5'-nucleotidase III-like protein) (cN-III-like protein) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase)	uniprotkb:Q969T7	NT5C3B;NT5C3L
5NTC_HUMAN	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (Cytosolic 5'-nucleotidase II)	uniprotkb:P49902	NT5C2;NT5B;NT5CP;PNT5
5NTD_HUMAN	5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73)	uniprotkb:P21589	NT5E;NT5;NTE
6PGD_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	uniprotkb:P52209	PGD;PGDH
6PGL_HUMAN	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	uniprotkb:O95336	PGLS
A0A075B734_HUMAN	Putative aquaporin-7-like protein 3	uniprotkb:A0A075B734	LOC100509620
A0A087WV96_HUMAN	CYP3A7-CYP3A51P readthrough	uniprotkb:A0A087WV96	CYP3A7-CYP3A51P
A0A087WVD1_HUMAN	Leukocyte receptor cluster member 9	uniprotkb:A0A087WVD1	LENG9
A0A087WY67_HUMAN	Glutathione transferase (EC 2.5.1.18)	uniprotkb:A0A087WY67	GSTT2
A0A2R8Y5M8_HUMAN	Catechol O-methyltransferase 2 (EC 2.1.1.6) (Protein LRTOMT2)	uniprotkb:A0A2R8Y5M8	
A0A2R8Y5X9_HUMAN	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter (Fragment)	uniprotkb:A0A2R8Y5X9	SLC35D2
A0A6Q8PGB0_HUMAN	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	uniprotkb:A0A6Q8PGB0	POLR2A
A1AT_HUMAN	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]	uniprotkb:P01009	SERPINA1;AAT;PI;PRO0684;PRO2209
A4GAT_HUMAN	Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)	uniprotkb:Q9NPC4	A4GALT;A14GALT;A4GALT1
A4GCT_HUMAN	Alpha-1,4-N-acetylglucosaminyltransferase (Alpha4GnT) (EC 2.4.1.-)	uniprotkb:Q9UNA3	A4GNT
AAA1_HUMAN	Asc-type amino acid transporter 1 (Asc-1) (Solute carrier family 7 member 10)	uniprotkb:Q9NS82	SLC7A10;ASC1
AAAD_HUMAN	Arylacetamide deacetylase (EC 3.1.1.3)	uniprotkb:P22760	AADAC;DAC
AAAS_HUMAN	Aladin (Adracalin)	uniprotkb:Q9NRG9	AAAS;ADRACALA;GL003
AAAT_HUMAN	Neutral amino acid transporter B(0) (ATB(0)) (Baboon M7 virus receptor) (RD114/simian type D retrovirus receptor) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5)	uniprotkb:Q15758	SLC1A5;ASCT2;M7V1;RDR;RDRC
AACS_HUMAN	Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog)	uniprotkb:Q86V21	AACS;ACSF1
AACT_HUMAN	Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less]	uniprotkb:P01011	SERPINA3;AACT;GIG24;GIG25
